"",BBK01.OEAJ07J,BBK01.OEAJ07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:37,
2002-01,0.042,
2002-04,0.041,
2002-07,0.043,
2002-10,0.043,
2003-01,0.046,
2003-04,0.047,
2003-07,0.049,
2003-10,0.051,
2004-01,0.052,
2004-04,0.052,
2004-07,0.055,
2004-10,0.057,
2005-01,0.052,
2005-04,0.053,
2005-07,0.057,
2005-10,0.057,
2006-01,0.056,
2006-04,0.057,
2006-07,0.058,
2006-10,0.059,
2007-01,0.054,
2007-04,0.055,
2007-07,0.054,
2007-10,0.057,
2008-01,0.045,
2008-04,0.048,
2008-07,0.050,
2008-10,0.036,
2009-01,0.041,
2009-04,0.033,
2009-07,0.043,
2009-10,0.055,
2010-01,0.058,
2010-04,0.061,
2010-07,0.061,
2010-10,0.062,
2011-01,0.063,
2011-04,0.063,
2011-07,0.065,
2011-10,0.065,
2012-01,0.069,
2012-04,0.070,
2012-07,0.072,
2012-10,0.072,
2013-01,0.075,
2013-04,0.077,
2013-07,0.076,
2013-10,0.075,
2014-01,0.073,
2014-04,0.072,
2014-07,0.072,
