"",BBK01.OECB16I,BBK01.OECB16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:03,
2002-01,2.602,
2002-04,2.566,
2002-07,2.542,
2002-10,2.642,
2003-01,2.591,
2003-04,2.569,
2003-07,2.492,
2003-10,2.337,
2004-01,2.285,
2004-04,2.246,
2004-07,2.203,
2004-10,2.078,
2005-01,2.180,
2005-04,2.127,
2005-07,2.124,
2005-10,2.055,
2006-01,2.050,
2006-04,2.016,
2006-07,1.987,
2006-10,1.886,
2007-01,1.824,
2007-04,1.800,
2007-07,1.779,
2007-10,1.737,
2008-01,1.712,
2008-04,1.699,
2008-07,1.704,
2008-10,1.678,
2009-01,1.653,
2009-04,2.527,
2009-07,2.465,
2009-10,2.435,
2010-01,2.377,
2010-04,2.256,
2010-07,2.497,
2010-10,2.355,
2011-01,2.497,
2011-04,2.482,
2011-07,2.442,
2011-10,2.411,
2012-01,2.341,
2012-04,2.329,
2012-07,2.325,
2012-10,2.326,
2013-01,2.331,
2013-04,2.359,
2013-07,2.475,
2013-10,2.539,
2014-01,2.598,
2014-04,2.627,
2014-07,2.659,
