"",BBFB1.Q.N.DE.PL.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:21,
1991-01,156.301,
1991-04,19.457,
1991-07,38.628,
1991-10,-228.289,
1992-01,63.179,
1992-04,21.244,
1992-07,128.504,
1992-10,21.282,
1993-01,-29.084,
1993-04,39.120,
1993-07,-3.788,
1993-10,57.170,
1994-01,132.692,
1994-04,-64.817,
1994-07,63.270,
1994-10,-779.040,
1995-01,136.483,
1995-04,-992.810,
1995-07,79.094,
1995-10,223.085,
1996-01,356.860,
1996-04,395.593,
1996-07,316.857,
1996-10,472.902,
1997-01,422.968,
1997-04,533.349,
1997-07,421.707,
1997-10,203.144,
1998-01,888.935,
1998-04,716.699,
1998-07,1046.653,
1998-10,675.289,
1999-01,1134.789,
1999-04,578.241,
1999-07,952.736,
1999-10,958.118,
2000-01,709.633,
2000-04,684.104,
2000-07,459.650,
2000-10,161.627,
2001-01,-104.293,
2001-04,448.806,
2001-07,1023.785,
2001-10,-364.683,
2002-01,534.310,
2002-04,59.251,
2002-07,366.792,
2002-10,361.218,
2003-01,1020.611,
2003-04,345.103,
2003-07,-462.139,
2003-10,-34.464,
2004-01,886.155,
2004-04,971.512,
2004-07,-33.233,
2004-10,329.991,
2005-01,2060.945,
2005-04,1097.992,
2005-07,996.802,
2005-10,49.815,
2006-01,827.697,
2006-04,909.189,
2006-07,1502.538,
2006-10,1856.310,
2007-01,2708.077,
2007-04,1814.519,
2007-07,1049.869,
2007-10,784.498,
2008-01,2164.499,
2008-04,3378.832,
2008-07,1522.147,
2008-10,660.437,
2009-01,47.041,
2009-04,1108.317,
2009-07,1488.205,
2009-10,1510.384,
2010-01,2228.240,
2010-04,1059.384,
2010-07,2558.899,
2010-10,3251.176,
2011-01,2561.368,
2011-04,159.482,
2011-07,578.713,
2011-10,-376.898,
2012-01,1373.859,
2012-04,1632.712,
2012-07,743.983,
2012-10,1201.117,
2013-01,1477.408,
2013-04,805.802,
2013-07,912.596,
2013-10,-982.847,
2014-01,642.926,Provisional value
2014-04,583.385,Provisional value
2014-07,-1113.560,Provisional value
2014-10,-395.764,Provisional value
