"",BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:14,
1991-01,20.100,
1991-04,34.652,
1991-07,20.667,
1991-10,43.776,
1992-01,15.729,
1992-04,8.013,
1992-07,7.531,
1992-10,38.179,
1993-01,24.668,
1993-04,19.723,
1993-07,25.692,
1993-10,21.870,
1994-01,18.243,
1994-04,46.655,
1994-07,73.774,
1994-10,69.709,
1995-01,94.612,
1995-04,79.277,
1995-07,71.049,
1995-10,146.593,
1996-01,135.934,
1996-04,245.439,
1996-07,179.667,
1996-10,221.094,
1997-01,224.951,
1997-04,275.862,
1997-07,262.703,
1997-10,260.432,
1998-01,58.718,
1998-04,337.072,
1998-07,260.305,
1998-10,-84.874,
1999-01,129.764,
1999-04,223.612,
1999-07,130.874,
1999-10,209.736,
2000-01,14.782,
2000-04,265.539,
2000-07,298.342,
2000-10,424.442,
2001-01,267.855,
2001-04,535.658,
2001-07,-21.412,
2001-10,7.994,
2002-01,213.398,
2002-04,40.183,
2002-07,200.606,
2002-10,329.994,
2003-01,54.612,
2003-04,467.773,
2003-07,56.725,
2003-10,753.268,
2004-01,-37.574,
2004-04,923.851,
2004-07,-165.737,
2004-10,513.218,
2005-01,521.508,
2005-04,918.565,
2005-07,237.552,
2005-10,714.246,
2006-01,779.805,
2006-04,937.359,
2006-07,566.427,
2006-10,392.389,
2007-01,757.584,
2007-04,541.960,
2007-07,503.478,
2007-10,476.856,
2008-01,946.102,
2008-04,510.017,
2008-07,286.318,
2008-10,380.001,
2009-01,382.645,
2009-04,1320.356,
2009-07,1243.386,
2009-10,1146.087,
2010-01,2137.953,
2010-04,1415.502,
2010-07,-237.921,
2010-10,1832.538,
2011-01,2151.348,
2011-04,2185.092,
2011-07,2605.355,
2011-10,1610.374,
2012-01,3544.506,
2012-04,856.237,
2012-07,928.705,
2012-10,607.707,
2013-01,2728.203,
2013-04,1595.313,
2013-07,1266.284,
2013-10,3149.693,
2014-01,2014.150,Provisional value
2014-04,223.538,Provisional value
2014-07,1293.652,Provisional value
2014-10,2286.478,Provisional value
