"",BBK01.OEHB10T,BBK01.OEHB10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:23,
2002-01,0.328,
2002-04,0.329,
2002-07,0.332,
2002-10,0.307,
2003-01,0.323,
2003-04,0.311,
2003-07,0.307,
2003-10,0.294,
2004-01,0.293,
2004-04,0.294,
2004-07,0.290,
2004-10,0.266,
2005-01,0.268,
2005-04,0.246,
2005-07,0.237,
2005-10,0.208,
2006-01,0.225,
2006-04,0.217,
2006-07,0.200,
2006-10,0.178,
2007-01,0.195,
2007-04,0.187,
2007-07,0.184,
2007-10,0.168,
2008-01,0.185,
2008-04,0.187,
2008-07,0.198,
2008-10,0.182,
2009-01,0.192,
2009-04,0.180,
2009-07,0.176,
2009-10,0.149,
2010-01,0.164,
2010-04,0.175,
2010-07,0.167,
2010-10,0.162,
2011-01,0.159,
2011-04,0.172,
2011-07,0.179,
2011-10,0.188,
2012-01,0.195,
2012-04,0.202,
2012-07,0.210,
2012-10,0.187,
2013-01,0.171,
2013-04,0.198,
2013-07,0.194,
2013-10,0.184,
2014-01,0.189,
2014-04,0.199,
2014-07,0.187,
