"",BBK01.OEAB01G,BBK01.OEAB01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:22,
2002-01,429.336,
2002-04,434.152,
2002-07,437.342,
2002-10,435.201,
2003-01,430.829,
2003-04,437.263,
2003-07,434.099,
2003-10,436.615,
2004-01,435.377,
2004-04,435.292,
2004-07,433.536,
2004-10,435.562,
2005-01,391.458,
2005-04,392.972,
2005-07,390.560,
2005-10,389.359,
2006-01,392.612,
2006-04,393.983,
2006-07,398.989,
2006-10,396.332,
2007-01,398.222,
2007-04,403.151,
2007-07,410.055,
2007-10,417.959,
2008-01,396.365,
2008-04,411.271,
2008-07,423.431,
2008-10,430.838,
2009-01,437.752,
2009-04,446.300,
2009-07,450.420,
2009-10,442.404,
2010-01,444.531,
2010-04,447.988,
2010-07,452.108,
2010-10,448.564,
2011-01,450.211,
2011-04,447.375,
2011-07,446.259,
2011-10,445.248,
2012-01,449.930,
2012-04,455.900,
2012-07,459.324,
2012-10,452.981,
2013-01,453.982,
2013-04,449.453,
2013-07,439.130,
2013-10,439.796,
2014-01,443.183,
2014-04,446.221,
2014-07,450.328,
