"",BBFB1.Q.N.DE.PL.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:23,
1991-01,624.173,
1991-04,655.836,
1991-07,744.690,
1991-10,761.797,
1992-01,674.768,
1992-04,743.035,
1992-07,775.900,
1992-10,821.617,
1993-01,617.661,
1993-04,740.359,
1993-07,746.175,
1993-10,892.668,
1994-01,767.549,
1994-04,809.487,
1994-07,896.155,
1994-10,1073.371,
1995-01,1005.632,
1995-04,1106.762,
1995-07,1104.011,
1995-10,1222.117,
1996-01,1004.765,
1996-04,1048.914,
1996-07,1098.321,
1996-10,1215.857,
1997-01,1142.024,
1997-04,1265.774,
1997-07,1323.982,
1997-10,1461.596,
1998-01,1402.251,
1998-04,1477.796,
1998-07,1621.498,
1998-10,1630.766,
1999-01,1762.513,
1999-04,1636.452,
1999-07,1801.097,
1999-10,1980.918,
2000-01,2177.349,
2000-04,2237.662,
2000-07,2543.974,
2000-10,2665.703,
2001-01,2593.762,
2001-04,2685.262,
2001-07,2749.931,
2001-10,2988.764,
2002-01,2753.512,
2002-04,3065.513,
2002-07,2906.090,
2002-10,3120.550,
2003-01,3103.903,
2003-04,3236.408,
2003-07,3372.630,
2003-10,3835.853,
2004-01,3576.758,
2004-04,3527.113,
2004-07,3194.291,
2004-10,3765.988,
2005-01,3663.966,
2005-04,3866.252,
2005-07,3798.288,
2005-10,4315.036,
2006-01,4647.451,
2006-04,4678.241,
2006-07,5053.377,
2006-10,5564.650,
2007-01,5394.398,
2007-04,5677.840,
2007-07,5801.914,
2007-10,6053.940,
2008-01,6120.943,
2008-04,6392.091,
2008-07,6418.331,
2008-10,6006.629,
2009-01,5199.032,
2009-04,5130.501,
2009-07,5376.160,
2009-10,5620.269,
2010-01,6138.185,
2010-04,6614.653,
2010-07,6757.693,
2010-10,7305.218,
2011-01,7483.269,
2011-04,7747.983,
2011-07,7849.625,
2011-10,7851.695,
2012-01,7817.744,
2012-04,7829.957,
2012-07,7839.786,
2012-10,8236.001,
2013-01,8254.001,
2013-04,8730.039,
2013-07,8874.875,
2013-10,9126.201,
2014-01,9248.261,Provisional value
2014-04,9294.874,Provisional value
2014-07,9374.117,Provisional value
