"",BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:43,
1991-01,58.238,
1991-04,152.219,
1991-07,284.335,
1991-10,311.970,
1992-01,616.213,
1992-04,2.841,
1992-07,50.018,
1992-10,88.143,
1993-01,-12.832,
1993-04,80.187,
1993-07,-26.211,
1993-10,96.075,
1994-01,168.504,
1994-04,139.977,
1994-07,363.351,
1994-10,193.666,
1995-01,260.964,
1995-04,139.374,
1995-07,-611.673,
1995-10,109.948,
1996-01,45.434,
1996-04,96.057,
1996-07,217.820,
1996-10,19.268,
1997-01,227.381,
1997-04,407.246,
1997-07,434.492,
1997-10,165.975,
1998-01,670.223,
1998-04,986.527,
1998-07,645.730,
1998-10,486.798,
1999-01,815.705,
1999-04,398.877,
1999-07,858.140,
1999-10,-88.797,
2000-01,141.572,
2000-04,-223.628,
2000-07,820.530,
2000-10,61.762,
2001-01,-48.797,
2001-04,-12.731,
2001-07,449.313,
2001-10,56.635,
2002-01,-87.878,
2002-04,147.855,
2002-07,108.952,
2002-10,-532.960,
2003-01,-129.715,
2003-04,-273.150,
2003-07,-426.647,
2003-10,1369.235,
2004-01,396.741,
2004-04,-320.961,
2004-07,-99.881,
2004-10,-280.798,
2005-01,-562.570,
2005-04,-832.367,
2005-07,-176.524,
2005-10,-352.822,
2006-01,902.907,
2006-04,574.402,
2006-07,1088.931,
2006-10,422.052,
2007-01,834.683,
2007-04,209.456,
2007-07,706.889,
2007-10,1775.627,
2008-01,-307.387,
2008-04,1657.331,
2008-07,809.068,
2008-10,-66.735,
2009-01,549.284,
2009-04,-691.253,
2009-07,-1130.674,
2009-10,172.444,
2010-01,537.757,
2010-04,301.961,
2010-07,-675.772,
2010-10,-973.141,
2011-01,-481.023,
2011-04,-428.754,
2011-07,718.891,
2011-10,-68.205,
2012-01,457.936,
2012-04,-747.336,
2012-07,-1003.758,
2012-10,-916.966,
2013-01,-165.483,
2013-04,-51.139,
2013-07,-193.650,
2013-10,-587.964,
2014-01,-86.156,Provisional value
2014-04,333.000,Provisional value
2014-07,565.249,Provisional value
2014-10,-748.191,Provisional value
