"",BBK01.OEAO02T,BBK01.OEAO02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:40,
2002-01,1.180,
2002-04,1.028,
2002-07,1.052,
2002-10,1.161,
2003-01,1.295,
2003-04,1.004,
2003-07,1.039,
2003-10,1.235,
2004-01,1.092,
2004-04,0.906,
2004-07,0.949,
2004-10,1.004,
2005-01,1.123,
2005-04,0.918,
2005-07,0.861,
2005-10,0.982,
2006-01,1.189,
2006-04,0.942,
2006-07,0.915,
2006-10,1.134,
2007-01,1.411,
2007-04,0.990,
2007-07,0.981,
2007-10,1.157,
2008-01,1.290,
2008-04,1.027,
2008-07,0.996,
2008-10,1.548,
2009-01,1.318,
2009-04,1.087,
2009-07,1.173,
2009-10,1.235,
2010-01,1.063,
2010-04,0.816,
2010-07,0.787,
2010-10,0.991,
2011-01,1.029,
2011-04,0.857,
2011-07,0.820,
2011-10,0.911,
2012-01,1.064,
2012-04,0.769,
2012-07,0.837,
2012-10,0.973,
2013-01,0.973,
2013-04,0.696,
2013-07,0.695,
2013-10,0.708,
2014-01,0.756,
2014-04,0.629,
2014-07,0.753,
