"",BBDE1.Q.DE.Y.LCA1.A2P001000.A.L.I08.A1,BBDE1.Q.DE.Y.LCA1.A2P001000.A.L.I08.A1_FLAGS
"",Index of labour costs / Germany / Production sector including construction (B - F) / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:08,
1996-01,76.893,
1996-04,76.846,
1996-07,78.301,
1996-10,80.377,
1997-01,80.541,
1997-04,77.367,
1997-07,79.007,
1997-10,80.253,
1998-01,79.330,
1998-04,80.087,
1998-07,80.538,
1998-10,81.161,
1999-01,81.362,
1999-04,81.929,
1999-07,82.180,
1999-10,81.895,
2000-01,83.744,
2000-04,85.711,
2000-07,86.450,
2000-10,87.250,
2001-01,87.194,
2001-04,88.372,
2001-07,88.776,
2001-10,89.257,
2002-01,90.387,
2002-04,89.251,
2002-07,90.684,
2002-10,91.040,
2003-01,92.485,
2003-04,92.531,
2003-07,92.766,
2003-10,92.446,
2004-01,93.620,
2004-04,93.570,
2004-07,92.956,
2004-10,92.616,
2005-01,95.224,
2005-04,92.603,
2005-07,93.879,
2005-10,94.585,
2006-01,95.849,
2006-04,96.435,
2006-07,97.522,
2006-10,97.383,
2007-01,95.758,
2007-04,97.464,
2007-07,97.743,
2007-10,98.825,
2008-01,99.670,
2008-04,96.649,
2008-07,99.233,
2008-10,104.448,
2009-01,102.672,
2009-04,102.171,
2009-07,102.007,
2009-10,101.235,
2010-01,103.155,
2010-04,101.815,
2010-07,102.095,
2010-10,102.455,
2011-01,104.984,
2011-04,106.191,
2011-07,105.706,
2011-10,106.858,
2012-01,105.680,
2012-04,109.467,
2012-07,109.028,
2012-10,110.038,
2013-01,111.912,
2013-04,110.789,
2013-07,110.627,
2013-10,112.689,
2014-01,112.663,
2014-04,114.203,
2014-07,113.078,
