"",BBK01.OEAE15R,BBK01.OEAE15R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:38,
2002-01,0.095,
2002-04,0.094,
2002-07,0.095,
2002-10,0.093,
2003-01,0.097,
2003-04,0.103,
2003-07,0.134,
2003-10,0.102,
2004-01,0.103,
2004-04,0.099,
2004-07,0.098,
2004-10,0.090,
2005-01,0.078,
2005-04,0.084,
2005-07,0.069,
2005-10,0.058,
2006-01,0.058,
2006-04,0.063,
2006-07,0.064,
2006-10,0.052,
2007-01,0.055,
2007-04,0.054,
2007-07,0.046,
2007-10,0.046,
2008-01,0.049,
2008-04,0.046,
2008-07,0.049,
2008-10,0.050,
2009-01,0.042,
2009-04,0.044,
2009-07,0.044,
2009-10,0.042,
2010-01,0.048,
2010-04,0.047,
2010-07,0.044,
2010-10,0.049,
2011-01,0.052,
2011-04,0.048,
2011-07,0.042,
2011-10,0.040,
2012-01,0.044,
2012-04,0.046,
2012-07,0.043,
2012-10,0.045,
2013-01,0.050,
2013-04,0.046,
2013-07,0.046,
2013-10,0.045,
2014-01,0.046,
2014-04,0.051,
2014-07,0.040,
