"",BBK01.OEAL08H,BBK01.OEAL08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:40,
2002-01,80.091,
2002-04,78.593,
2002-07,78.435,
2002-10,81.514,
2003-01,83.634,
2003-04,84.853,
2003-07,86.967,
2003-10,89.460,
2004-01,90.493,
2004-04,91.243,
2004-07,91.635,
2004-10,93.789,
2005-01,100.073,
2005-04,100.133,
2005-07,100.324,
2005-10,101.697,
2006-01,100.722,
2006-04,98.763,
2006-07,95.714,
2006-10,94.086,
2007-01,91.115,
2007-04,88.724,
2007-07,86.060,
2007-10,85.565,
2008-01,83.550,
2008-04,82.130,
2008-07,79.726,
2008-10,80.685,
2009-01,83.611,
2009-04,85.753,
2009-07,87.586,
2009-10,90.894,
2010-01,93.992,
2010-04,96.277,
2010-07,98.520,
2010-10,101.618,
2011-01,102.741,
2011-04,101.878,
2011-07,101.167,
2011-10,103.468,
2012-01,105.846,
2012-04,106.011,
2012-07,106.505,
2012-10,108.348,
2013-01,108.408,
2013-04,107.740,
2013-07,106.682,
2013-10,106.946,
2014-01,105.646,
2014-04,104.726,
2014-07,104.205,
