"",BBK01.OEAK01N,BBK01.OEAK01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:07,
2002-01,19.686,
2002-04,19.943,
2002-07,20.075,
2002-10,20.714,
2003-01,20.758,
2003-04,20.587,
2003-07,20.573,
2003-10,20.977,
2004-01,20.459,
2004-04,20.239,
2004-07,20.145,
2004-10,19.425,
2005-01,19.685,
2005-04,20.444,
2005-07,20.257,
2005-10,20.961,
2006-01,20.964,
2006-04,21.493,
2006-07,21.644,
2006-10,22.739,
2007-01,22.714,
2007-04,23.206,
2007-07,24.074,
2007-10,25.609,
2008-01,25.211,
2008-04,25.646,
2008-07,26.114,
2008-10,27.921,
2009-01,26.876,
2009-04,27.180,
2009-07,26.854,
2009-10,27.490,
2010-01,27.135,
2010-04,27.450,
2010-07,27.540,
2010-10,28.306,
2011-01,28.028,
2011-04,28.246,
2011-07,29.432,
2011-10,30.623,
2012-01,30.520,
2012-04,30.949,
2012-07,31.254,
2012-10,31.754,
2013-01,31.631,
2013-04,32.235,
2013-07,32.948,
2013-10,34.078,
2014-01,34.038,
2014-04,33.893,
2014-07,34.614,
