"",BBK01.OEBL04O,BBK01.OEBL04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:22,
2002-01,-4.329,
2002-04,-4.061,
2002-07,-4.035,
2002-10,-3.716,
2003-01,-3.429,
2003-04,-3.257,
2003-07,-2.977,
2003-10,-2.768,
2004-01,-2.563,
2004-04,-2.433,
2004-07,-2.361,
2004-10,-2.178,
2005-01,0.353,
2005-04,0.353,
2005-07,0.346,
2005-10,0.361,
2006-01,0.373,
2006-04,0.369,
2006-07,0.416,
2006-10,0.519,
2007-01,0.568,
2007-04,0.629,
2007-07,0.797,
2007-10,1.003,
2008-01,1.128,
2008-04,1.219,
2008-07,1.499,
2008-10,1.564,
2009-01,1.338,
2009-04,1.204,
2009-07,0.959,
2009-10,0.794,
2010-01,0.575,
2010-04,0.573,
2010-07,0.465,
2010-10,0.410,
2011-01,0.397,
2011-04,0.432,
2011-07,0.406,
2011-10,0.439,
2012-01,0.468,
2012-04,0.526,
2012-07,0.503,
2012-10,0.421,
2013-01,0.362,
2013-04,0.431,
2013-07,0.424,
2013-10,0.397,
2014-01,0.396,
2014-04,0.378,
2014-07,0.393,
