"",BBK01.OEAH66K,BBK01.OEAH66K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:52,
2002-01,1.107,
2002-04,1.088,
2002-07,1.038,
2002-10,1.001,
2003-01,0.921,
2003-04,0.859,
2003-07,0.803,
2003-10,0.751,
2004-01,0.709,
2004-04,0.673,
2004-07,0.636,
2004-10,0.606,
2005-01,0.561,
2005-04,0.504,
2005-07,0.461,
2005-10,0.429,
2006-01,0.409,
2006-04,0.328,
2006-07,0.299,
2006-10,0.281,
2007-01,0.265,
2007-04,0.253,
2007-07,0.240,
2007-10,0.232,
2008-01,0.226,
2008-04,0.200,
2008-07,0.196,
2008-10,0.197,
2009-01,0.195,
2009-04,0.185,
2009-07,0.174,
2009-10,0.222,
2010-01,0.277,
2010-04,0.384,
2010-07,0.398,
2010-10,0.438,
2011-01,0.435,
2011-04,0.541,
2011-07,0.601,
2011-10,0.615,
2012-01,0.661,
2012-04,0.673,
2012-07,0.715,
2012-10,0.732,
2013-01,0.659,
2013-04,0.573,
2013-07,0.545,
2013-10,0.537,
2014-01,0.547,
2014-04,0.539,
2014-07,0.505,
