"",BBK01.OECB12H,BBK01.OECB12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:55,
2002-01,30.332,
2002-04,29.645,
2002-07,29.537,
2002-10,29.463,
2003-01,28.973,
2003-04,28.888,
2003-07,28.119,
2003-10,27.688,
2004-01,27.921,
2004-04,27.007,
2004-07,25.930,
2004-10,25.420,
2005-01,26.649,
2005-04,26.231,
2005-07,26.396,
2005-10,25.957,
2006-01,25.609,
2006-04,25.610,
2006-07,25.269,
2006-10,25.258,
2007-01,24.392,
2007-04,24.161,
2007-07,23.773,
2007-10,23.819,
2008-01,23.581,
2008-04,23.726,
2008-07,23.510,
2008-10,23.695,
2009-01,23.341,
2009-04,14.849,
2009-07,14.634,
2009-10,14.978,
2010-01,14.963,
2010-04,15.253,
2010-07,15.013,
2010-10,15.159,
2011-01,14.826,
2011-04,14.722,
2011-07,14.797,
2011-10,15.100,
2012-01,15.617,
2012-04,15.655,
2012-07,15.462,
2012-10,15.336,
2013-01,15.368,
2013-04,15.444,
2013-07,15.196,
2013-10,15.035,
2014-01,14.689,
2014-04,14.408,
2014-07,14.789,
