"",BBK01.OEXO01Q,BBK01.OEXO01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:02,
2002-01,1.992,
2002-04,1.970,
2002-07,1.925,
2002-10,1.958,
2003-01,2.009,
2003-04,2.083,
2003-07,2.067,
2003-10,1.998,
2004-01,1.955,
2004-04,1.922,
2004-07,1.858,
2004-10,0.936,
2005-01,0.942,
2005-04,0.955,
2005-07,0.936,
2005-10,0.898,
2006-01,0.917,
2006-04,0.931,
2006-07,0.932,
2006-10,0.946,
2007-01,0.973,
2007-04,1.123,
2007-07,1.194,
2007-10,1.262,
2008-01,1.387,
2008-04,1.450,
2008-07,1.446,
2008-10,1.507,
2009-01,1.811,
2009-04,1.805,
2009-07,1.841,
2009-10,1.876,
2010-01,1.737,
2010-04,1.614,
2010-07,1.585,
2010-10,1.531,
2011-01,1.689,
2011-04,1.775,
2011-07,1.692,
2011-10,1.656,
2012-01,1.636,
2012-04,1.578,
2012-07,1.564,
2012-10,1.532,
2013-01,1.485,
2013-04,1.387,
2013-07,1.318,
2013-10,1.308,
2014-01,1.301,
2014-04,1.295,
2014-07,1.272,
