"",BBK01.OEXL05G,BBK01.OEXL05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:12,
2002-01,1.663,
2002-04,1.767,
2002-07,1.929,
2002-10,2.103,
2003-01,2.289,
2003-04,2.291,
2003-07,2.265,
2003-10,2.274,
2004-01,2.337,
2004-04,2.367,
2004-07,2.416,
2004-10,2.502,
2005-01,0.492,
2005-04,0.517,
2005-07,0.208,
2005-10,0.251,
2006-01,0.228,
2006-04,0.232,
2006-07,0.229,
2006-10,0.248,
2007-01,0.295,
2007-04,0.275,
2007-07,0.261,
2007-10,0.253,
2008-01,0.233,
2008-04,0.238,
2008-07,0.396,
2008-10,0.467,
2009-01,0.933,
2009-04,1.375,
2009-07,1.559,
2009-10,1.800,
2010-01,2.138,
2010-04,2.188,
2010-07,2.327,
2010-10,2.520,
2011-01,2.630,
2011-04,2.747,
2011-07,2.886,
2011-10,3.116,
2012-01,3.015,
2012-04,3.054,
2012-07,3.118,
2012-10,3.130,
2013-01,3.179,
2013-04,3.050,
2013-07,2.958,
2013-10,2.971,
2014-01,3.031,
2014-04,3.118,
2014-07,3.164,
