"",BBK01.OEHK06H,BBK01.OEHK06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:56,
2002-01,0.525,
2002-04,0.535,
2002-07,0.545,
2002-10,0.538,
2003-01,0.525,
2003-04,0.510,
2003-07,0.496,
2003-10,0.503,
2004-01,0.502,
2004-04,0.495,
2004-07,0.497,
2004-10,0.494,
2005-01,0.481,
2005-04,0.473,
2005-07,0.454,
2005-10,0.440,
2006-01,0.465,
2006-04,0.510,
2006-07,0.563,
2006-10,0.634,
2007-01,0.710,
2007-04,0.769,
2007-07,0.847,
2007-10,0.944,
2008-01,0.997,
2008-04,1.043,
2008-07,1.110,
2008-10,1.171,
2009-01,0.991,
2009-04,0.811,
2009-07,0.679,
2009-10,0.661,
2010-01,0.641,
2010-04,0.594,
2010-07,0.567,
2010-10,0.552,
2011-01,0.570,
2011-04,0.594,
2011-07,0.604,
2011-10,0.615,
2012-01,0.581,
2012-04,0.522,
2012-07,0.473,
2012-10,0.418,
2013-01,0.355,
2013-04,0.324,
2013-07,0.301,
2013-10,0.277,
2014-01,0.267,
2014-04,0.256,
2014-07,0.280,
