"",BBK01.OEAD09L,BBK01.OEAD09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:54,
2002-01,1.176,
2002-04,1.141,
2002-07,1.128,
2002-10,0.814,
2003-01,0.821,
2003-04,0.787,
2003-07,0.784,
2003-10,0.637,
2004-01,0.836,
2004-04,1.138,
2004-07,0.829,
2004-10,0.814,
2005-01,0.830,
2005-04,0.801,
2005-07,0.708,
2005-10,0.654,
2006-01,0.720,
2006-04,0.794,
2006-07,0.709,
2006-10,0.705,
2007-01,0.764,
2007-04,0.729,
2007-07,0.715,
2007-10,0.641,
2008-01,0.687,
2008-04,0.752,
2008-07,0.618,
2008-10,0.603,
2009-01,0.610,
2009-04,0.677,
2009-07,0.553,
2009-10,0.495,
2010-01,0.434,
2010-04,0.424,
2010-07,0.442,
2010-10,0.429,
2011-01,0.464,
2011-04,0.473,
2011-07,0.435,
2011-10,0.477,
2012-01,0.479,
2012-04,0.486,
2012-07,0.425,
2012-10,0.406,
2013-01,0.384,
2013-04,0.402,
2013-07,0.405,
2013-10,0.392,
2014-01,0.363,
2014-04,0.361,
2014-07,0.362,
