"",BBK01.OEAD35L,BBK01.OEAD35L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:04,
2002-01,0.990,
2002-04,0.948,
2002-07,0.925,
2002-10,0.923,
2003-01,0.931,
2003-04,0.977,
2003-07,0.997,
2003-10,0.978,
2004-01,0.967,
2004-04,0.958,
2004-07,0.850,
2004-10,0.917,
2005-01,0.848,
2005-04,0.886,
2005-07,0.875,
2005-10,0.901,
2006-01,0.888,
2006-04,0.896,
2006-07,0.885,
2006-10,0.922,
2007-01,1.019,
2007-04,1.003,
2007-07,0.977,
2007-10,1.096,
2008-01,1.154,
2008-04,1.182,
2008-07,1.174,
2008-10,1.151,
2009-01,1.063,
2009-04,1.129,
2009-07,1.114,
2009-10,1.011,
2010-01,1.083,
2010-04,1.159,
2010-07,1.130,
2010-10,1.053,
2011-01,1.032,
2011-04,0.955,
2011-07,0.932,
2011-10,0.931,
2012-01,0.935,
2012-04,0.898,
2012-07,0.898,
2012-10,0.878,
2013-01,0.911,
2013-04,0.914,
2013-07,0.908,
2013-10,0.887,
2014-01,0.886,
2014-04,0.815,
2014-07,0.838,
