"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.FI.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.FI.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Finland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:59,
2009-09,1664,
2009-10,1905,
2009-11,1885,
2009-12,1995,
2010-01,2095,
2010-02,2161,
2010-03,2372,
2010-04,2473,
2010-05,2636,
2010-06,2673,
2010-07,2698,
2010-08,2802,
2010-09,2726,
2010-10,2673,
2010-11,2671,
2010-12,2632,
2011-01,2567,
2011-02,2538,
2011-03,2564,
2011-04,2575,
2011-05,2766,
2011-06,2740,
2011-07,3096,
2011-08,3311,
2011-09,3350,
2011-10,3464,
2011-11,3449,
2011-12,3497,
2012-01,3370,
2012-02,3378,
2012-03,3329,
2012-04,3355,
2012-05,3410,
2012-06,3590,
2012-07,3776,
2012-08,3772,
2012-09,3618,
2012-10,3465,
2012-11,3484,
2012-12,3575,
2013-01,3449,
2013-02,3499,
2013-03,3431,
2013-04,3463,
2013-05,3436,
2013-06,3426,
2013-07,3523,
2013-08,3545,
2013-09,3641,
2013-10,3661,
2013-11,3683,
2013-12,3687,
2014-01,3788,
2014-02,4151,
2014-03,4259,
2014-04,4393,
2014-05,4669,
2014-06,4755,
2014-07,4655,
2014-08,4722,
2014-09,4688,
2014-10,4651,
2014-11,4493,
