"",BBFB1.Q.N.DE.FI.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:10,
1991-01,54.018,
1991-04,110.003,
1991-07,14.238,
1991-10,-109.901,
1992-01,-192.906,
1992-04,133.117,
1992-07,22.510,
1992-10,235.769,
1993-01,20.486,
1993-04,-286.081,
1993-07,51.923,
1993-10,228.726,
1994-01,5.792,
1994-04,0.545,
1994-07,345.868,
1994-10,-8.918,
1995-01,-63.246,
1995-04,205.428,
1995-07,106.478,
1995-10,249.750,
1996-01,-96.266,
1996-04,-105.089,
1996-07,97.498,
1996-10,190.839,
1997-01,895.220,
1997-04,311.079,
1997-07,-285.285,
1997-10,-283.099,
1998-01,3.759,
1998-04,329.502,
1998-07,100.759,
1998-10,1698.921,
1999-01,401.762,
1999-04,1248.281,
1999-07,213.577,
1999-10,525.957,
2000-01,2812.566,
2000-04,434.763,
2000-07,1657.597,
2000-10,1397.025,
2001-01,-248.222,
2001-04,2151.973,
2001-07,861.787,
2001-10,2654.848,
2002-01,-1372.965,
2002-04,679.810,
2002-07,0.074,
2002-10,-1756.349,
2003-01,574.410,
2003-04,747.474,
2003-07,1491.544,
2003-10,-2156.773,
2004-01,-877.812,
2004-04,1567.965,
2004-07,271.483,
2004-10,470.215,
2005-01,743.739,
2005-04,-859.413,
2005-07,587.715,
2005-10,1668.529,
2006-01,-1350.442,
2006-04,1666.193,
2006-07,424.153,
2006-10,1079.852,
2007-01,-312.350,
2007-04,1796.440,
2007-07,-1883.450,
2007-10,-902.701,
2008-01,936.533,
2008-04,-131.968,
2008-07,1629.002,
2008-10,-1550.704,
2009-01,896.561,
2009-04,-1042.823,
2009-07,1983.520,
2009-10,-1108.244,
2010-01,-1815.276,
2010-04,980.156,
2010-07,440.459,
2010-10,649.860,
2011-01,-251.761,
2011-04,-1852.965,
2011-07,1100.059,
2011-10,156.588,
2012-01,1550.232,
2012-04,2842.956,
2012-07,5508.687,
2012-10,-1335.691,
2013-01,-1311.628,
2013-04,3689.828,
2013-07,-2105.122,
2013-10,1272.272,
2014-01,1696.584,Provisional value
2014-04,-344.529,Provisional value
2014-07,-104.704,Provisional value
2014-10,-1137.953,Provisional value
