"",BBK01.CEL20J,BBK01.CEL20J_FLAGS
"",Currency Einlagen                     debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:38,
1999-01,3.9,
1999-04,1.8,
1999-07,-5.7,
1999-10,11.2,
2000-01,-10.3,
2000-04,-20.3,
2000-07,-16.3,
2000-10,13.5,
2001-01,9.2,
2001-04,10.0,
2001-07,6.1,
2001-10,4.2,
2002-01,11.1,
2002-04,13.0,
2002-07,9.7,
2002-10,30.1,
2003-01,22.1,
2003-04,9.1,
2003-07,9.1,
2003-10,11.6,
2004-01,15.8,
2004-04,9.9,
2004-07,6.7,
2004-10,21.4,
2005-01,9.2,
2005-04,9.4,
2005-07,-0.1,
2005-10,17.7,
2006-01,8.7,
2006-04,8.4,
2006-07,-3.6,
2006-10,14.8,
2007-01,6.6,
2007-04,14.3,
2007-07,9.4,
2007-10,30.6,
2008-01,1.3,
2008-04,8.1,
2008-07,6.2,
2008-10,76.2,
2009-01,8.8,
2009-04,11.9,
2009-07,2.9,
2009-10,21.9,
2010-01,13.3,
2010-04,14.7,
2010-07,3.2,
2010-10,32.9,
2011-01,6.1,
2011-04,13.9,
2011-07,10.8,
2011-10,26.7,
2012-01,15.8,
2012-04,20.4,
2012-07,16.1,
2012-10,22.1,
2013-01,8.8,
2013-04,18.5,
2013-07,10.2,
2013-10,29.1,
2014-01,13.0,
2014-04,19.2,
2014-07,17.0,
