"",BBSF2.M.1.S.I0003.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0003.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Supplementary pension funds for government employees and churches / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:58,
2009-09,11,
2009-10,62,
2009-11,37,
2009-12,15,
2010-01,43,
2010-02,10,
2010-03,55,
2010-04,512,
2010-05,-,Nothing exists
2010-06,243,
2010-07,433,
2010-08,44,
2010-09,77,
2010-10,54,
2010-11,3,
2010-12,23,
2011-01,-,Nothing exists
2011-02,1,
2011-03,-,Nothing exists
2011-04,11,
2011-05,-,Nothing exists
2011-06,11,
2011-07,30,
2011-08,-,Nothing exists
2011-09,6,
2011-10,8,
2011-11,5,
2011-12,33,
2012-01,8,
2012-02,-,Nothing exists
2012-03,160,
2012-04,458,
2012-05,320,
2012-06,10,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,291,
2012-10,70,
2012-11,223,
2012-12,1301,
2013-01,55,
2013-02,117,
2013-03,83,
2013-04,202,
2013-05,16,
2013-06,46,
2013-07,1,
2013-08,46,
2013-09,80,
2013-10,186,
2013-11,67,
2013-12,545,
2014-01,51,
2014-02,516,
2014-03,42,
2014-04,134,
2014-05,85,
2014-06,3,
2014-07,-,Nothing exists
2014-08,1300,
2014-09,716,
2014-10,445,
2014-11,159,
