"",BBK01.OECB10T,BBK01.OECB10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:04,
2002-01,0.366,
2002-04,0.366,
2002-07,0.349,
2002-10,0.324,
2003-01,0.324,
2003-04,0.317,
2003-07,0.325,
2003-10,0.273,
2004-01,0.267,
2004-04,0.271,
2004-07,0.242,
2004-10,0.243,
2005-01,0.232,
2005-04,0.232,
2005-07,0.234,
2005-10,0.235,
2006-01,0.229,
2006-04,0.233,
2006-07,0.254,
2006-10,0.214,
2007-01,0.225,
2007-04,0.241,
2007-07,0.229,
2007-10,0.246,
2008-01,0.272,
2008-04,0.275,
2008-07,0.224,
2008-10,0.200,
2009-01,0.227,
2009-04,0.230,
2009-07,0.218,
2009-10,0.237,
2010-01,0.271,
2010-04,0.277,
2010-07,0.294,
2010-10,0.241,
2011-01,0.275,
2011-04,0.287,
2011-07,0.266,
2011-10,0.231,
2012-01,0.280,
2012-04,0.268,
2012-07,0.266,
2012-10,0.270,
2013-01,0.289,
2013-04,0.246,
2013-07,0.260,
2013-10,0.212,
2014-01,0.265,
2014-04,0.235,
2014-07,0.271,
