"",BBFN1.M.DE.N.1.L.R12.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:03,
1978-12,1.020,
1979-01,.,Value available later
1979-02,.,Value available later
1979-03,.,Value available later
1979-04,.,Value available later
1979-05,.,Value available later
1979-06,.,Value available later
1979-07,.,Value available later
1979-08,.,Value available later
1979-09,.,Value available later
1979-10,.,Value available later
1979-11,.,Value available later
1979-12,0.818,
1980-01,.,Value available later
1980-02,.,Value available later
1980-03,.,Value available later
1980-04,.,Value available later
1980-05,.,Value available later
1980-06,.,Value available later
1980-07,.,Value available later
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,1.339,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,1.854,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,.,Value available later
1982-10,.,Value available later
1982-11,.,Value available later
1982-12,1.754,
1983-01,1.982,
1983-02,1.725,
1983-03,1.936,
1983-04,1.980,
1983-05,1.929,
1983-06,1.868,
1983-07,1.929,
1983-08,1.888,
1983-09,1.854,
1983-10,1.896,
1983-11,1.805,
1983-12,1.682,
1984-01,1.716,
1984-02,1.775,
1984-03,1.718,
1984-04,1.722,
1984-05,1.648,
1984-06,1.679,
1984-07,1.702,
1984-08,1.813,
1984-09,1.829,
1984-10,1.803,
1984-11,1.816,
1984-12,2.057,
1985-01,2.143,
1985-02,2.176,
1985-03,2.176,
1985-04,2.158,
1985-05,2.143,
1985-06,2.124,
1985-07,2.053,
1985-08,2.083,
1985-09,1.979,
1985-10,1.906,
1985-11,2.018,
1985-12,2.099,
1986-01,2.200,
1986-02,2.295,
1986-03,2.296,
1986-04,2.188,
1986-05,2.084,
1986-06,2.117,
1986-07,2.150,
1986-08,2.210,
1986-09,2.114,
1986-10,2.122,
1986-11,1.994,
1986-12,2.376,
1987-01,2.330,
1987-02,2.311,
1987-03,2.771,
1987-04,2.740,
1987-05,2.769,
1987-06,2.807,
1987-07,2.773,
1987-08,2.860,
1987-09,3.018,
1987-10,3.029,
1987-11,3.010,
1987-12,3.060,
1988-01,3.095,
1988-02,3.100,
1988-03,3.154,
1988-04,3.348,
1988-05,3.371,
1988-06,3.303,
1988-07,3.338,
1988-08,3.386,
1988-09,3.424,
1988-10,3.368,
1988-11,.,No value available
1988-12,2.226,
1989-01,1.864,
1989-02,1.029,
1989-03,0.984,
1989-04,0.978,
1989-05,0.991,
1989-06,0.971,
1989-07,1.174,
1989-08,1.217,
1989-09,1.080,
1989-10,1.224,
1989-11,1.240,
1989-12,1.302,
1990-01,1.422,
1990-02,1.882,
1990-03,2.021,
1990-04,2.069,
1990-05,2.213,
1990-06,2.247,
1990-07,2.311,
1990-08,2.278,
1990-09,2.270,
1990-10,2.211,
1990-11,2.261,
1990-12,3.078,
1991-01,3.016,
1991-02,3.111,
1991-03,3.332,
1991-04,3.398,
1991-05,3.724,
1991-06,3.886,
1991-07,3.746,
1991-08,3.120,
1991-09,3.062,
1991-10,3.085,
1991-11,2.730,
1991-12,2.887,
1992-01,2.874,
1992-02,3.407,
1992-03,3.289,
1992-04,3.468,
1992-05,3.634,
1992-06,3.575,
1992-07,3.495,
1992-08,3.279,
1992-09,3.325,
1992-10,3.385,
1992-11,3.450,
1992-12,3.603,
1993-01,3.386,
1993-02,3.812,
1993-03,3.446,
1993-04,3.470,
1993-05,3.745,
1993-06,3.808,
1993-07,4.045,
1993-08,4.074,
1993-09,4.019,
1993-10,4.200,
1993-11,4.209,
1993-12,4.241,
1994-01,4.021,
1994-02,3.880,
1994-03,3.977,
1994-04,3.991,
1994-05,3.782,
1994-06,3.690,
1994-07,3.620,
1994-08,3.787,
1994-09,3.666,
1994-10,3.678,
1994-11,3.418,
1994-12,3.558,
1995-01,3.766,
1995-02,3.717,
1995-03,3.905,
1995-04,3.920,
1995-05,4.036,
1995-06,4.013,
1995-07,3.945,
1995-08,4.070,
1995-09,4.447,
1995-10,4.946,
1995-11,4.876,
1995-12,5.338,
1996-01,5.087,
1996-02,5.112,
1996-03,5.183,
1996-04,5.492,
1996-05,5.395,
1996-06,5.577,
1996-07,5.775,
1996-08,5.689,
1996-09,5.834,
1996-10,5.686,
1996-11,5.782,
1996-12,6.452,
1997-01,6.553,
1997-02,6.541,
1997-03,6.502,
1997-04,6.560,
1997-05,6.655,
1997-06,6.987,
1997-07,6.958,
1997-08,7.208,
1997-09,7.392,
1997-10,7.242,
1997-11,6.965,
1997-12,7.320,
1998-01,7.449,
1998-02,8.124,
1998-03,8.167,
1998-04,8.209,
1998-05,8.000,
1998-06,9.986,
1998-07,10.042,
1998-08,10.209,
1998-09,10.029,
1998-10,10.062,
1998-11,9.877,
1998-12,9.931,
1999-01,10.047,
1999-02,9.990,
1999-03,10.145,
1999-04,10.082,
1999-05,10.170,
1999-06,10.037,
1999-07,9.914,
1999-08,9.913,
1999-09,10.073,
1999-10,17.033,
1999-11,13.116,
1999-12,9.651,
2000-01,9.660,
2000-02,9.858,
2000-03,9.929,
2000-04,9.866,
2000-05,10.554,
2000-06,11.435,
2000-07,11.927,
2000-08,12.281,
2000-09,12.715,
2000-10,12.840,
2000-11,12.995,
2000-12,12.922,
2001-01,12.170,
2001-02,12.584,
2001-03,12.725,
2001-04,12.500,
2001-05,12.944,
2001-06,14.845,
2001-07,14.599,
2001-08,14.565,
2001-09,14.910,
2001-10,15.261,
2001-11,11.405,
2001-12,11.354,
2002-01,11.065,
2002-02,11.036,
2002-03,11.264,
2002-04,11.214,
2002-05,11.187,
2002-06,12.239,
2002-07,12.264,
2002-08,12.244,
2002-09,12.383,
2002-10,11.831,
2002-11,11.961,
2002-12,12.236,
2003-01,15.852,
2003-02,16.303,
2003-03,18.122,
2003-04,17.619,
2003-05,17.878,
2003-06,18.232,
2003-07,18.382,
2003-08,18.059,
2003-09,17.538,
2003-10,17.272,
2003-11,17.616,
2003-12,16.642,
2004-01,16.093,
2004-02,19.465,
2004-03,19.353,
2004-04,21.516,
2004-05,18.579,
2004-06,18.352,
2004-07,18.257,
2004-08,17.790,
2004-09,17.706,
2004-10,17.120,
2004-11,15.435,
2004-12,14.681,
2005-01,13.765,
2005-02,13.395,
2005-03,13.306,
2005-04,13.336,
2005-05,13.815,
2005-06,13.643,
2005-07,13.492,
2005-08,13.631,
2005-09,13.415,
2005-10,13.807,
2005-11,12.946,
2005-12,13.406,
2006-01,13.350,
2006-02,13.527,
2006-03,13.447,
2006-04,13.832,
2006-05,14.650,
2006-06,16.751,
2006-07,16.289,
2006-08,16.023,
2006-09,16.757,
2006-10,16.932,
2006-11,16.531,
2006-12,20.066,
2007-01,19.172,
2007-02,20.382,
2007-03,21.863,
2007-04,23.238,
2007-05,21.340,
2007-06,21.621,
2007-07,21.816,
2007-08,22.417,
2007-09,21.984,
2007-10,21.897,
2007-11,22.476,
2007-12,21.835,
2008-01,21.067,
2008-02,22.291,
2008-03,22.245,
2008-04,22.132,
2008-05,22.255,
2008-06,22.660,
2008-07,22.849,
2008-08,23.124,
2008-09,23.376,
2008-10,23.973,
2008-11,23.902,
2008-12,22.328,
2009-01,22.101,
2009-02,22.019,
2009-03,22.245,
2009-04,22.273,
2009-05,22.068,
2009-06,22.075,
2009-07,22.046,
2009-08,22.199,
2009-09,22.174,
2009-10,22.191,
2009-11,22.188,
2009-12,21.225,
2010-01,21.219,
2010-02,21.021,
2010-03,21.505,
2010-04,21.032,
2010-05,24.804,
2010-06,25.909,
2010-07,25.861,
2010-08,26.421,
2010-09,26.468,
2010-10,26.756,
2010-11,27.362,
2010-12,27.635,
2011-01,27.257,
2011-02,26.790,
2011-03,27.183,
2011-04,27.417,
2011-05,27.420,
2011-06,27.641,
2011-07,28.194,
2011-08,28.371,
2011-09,28.685,
2011-10,28.458,
2011-11,29.896,
2011-12,29.736,
2012-01,27.920,
2012-02,28.937,
2012-03,29.068,
2012-04,29.671,
2012-05,29.508,
2012-06,29.276,
2012-07,29.631,
2012-08,29.873,
2012-09,30.287,
2012-10,30.002,
2012-11,30.097,
2012-12,30.980,
2013-01,31.735,
2013-02,31.083,
2013-03,31.287,
2013-04,31.223,
2013-05,31.584,
2013-06,31.139,
2013-07,32.836,
2013-08,33.364,
2013-09,33.635,
2013-10,33.098,
2013-11,33.176,
2013-12,34.638,
2014-01,34.593,
2014-02,34.097,
2014-03,34.174,
2014-04,34.509,
2014-05,34.342,
2014-06,34.176,
2014-07,33.753,
2014-08,34.115,
2014-09,34.202,
2014-10,34.090,
2014-11,33.808,
2014-12,33.294,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
