"",BBK01.OEAF25U,BBK01.OEAF25U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:24,
2002-01,0.269,
2002-04,0.271,
2002-07,0.269,
2002-10,0.447,
2003-01,0.482,
2003-04,0.526,
2003-07,0.560,
2003-10,0.561,
2004-01,0.585,
2004-04,0.601,
2004-07,0.611,
2004-10,0.606,
2005-01,0.610,
2005-04,0.592,
2005-07,0.666,
2005-10,0.664,
2006-01,0.664,
2006-04,0.686,
2006-07,0.699,
2006-10,0.700,
2007-01,0.648,
2007-04,0.604,
2007-07,0.564,
2007-10,0.524,
2008-01,0.481,
2008-04,0.446,
2008-07,0.411,
2008-10,0.376,
2009-01,0.358,
2009-04,0.335,
2009-07,0.326,
2009-10,0.307,
2010-01,0.294,
2010-04,0.302,
2010-07,0.292,
2010-10,0.282,
2011-01,0.278,
2011-04,0.273,
2011-07,0.269,
2011-10,0.247,
2012-01,0.242,
2012-04,0.242,
2012-07,0.233,
2012-10,0.227,
2013-01,0.216,
2013-04,0.220,
2013-07,0.227,
2013-10,0.225,
2014-01,0.223,
2014-04,0.227,
2014-07,0.221,
