"",BBK01.OEXK01K,BBK01.OEXK01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:58,
2002-01,1.797,
2002-04,1.884,
2002-07,2.042,
2002-10,2.029,
2003-01,2.057,
2003-04,2.039,
2003-07,2.200,
2003-10,2.094,
2004-01,1.945,
2004-04,2.021,
2004-07,2.030,
2004-10,0.868,
2005-01,0.895,
2005-04,0.917,
2005-07,0.897,
2005-10,1.105,
2006-01,1.179,
2006-04,1.192,
2006-07,1.167,
2006-10,1.144,
2007-01,1.173,
2007-04,1.223,
2007-07,1.303,
2007-10,1.676,
2008-01,1.504,
2008-04,1.469,
2008-07,1.686,
2008-10,1.603,
2009-01,1.500,
2009-04,1.423,
2009-07,1.403,
2009-10,1.451,
2010-01,1.593,
2010-04,1.511,
2010-07,1.426,
2010-10,1.880,
2011-01,1.876,
2011-04,1.863,
2011-07,1.938,
2011-10,1.997,
2012-01,1.921,
2012-04,1.965,
2012-07,1.886,
2012-10,1.852,
2013-01,2.005,
2013-04,1.969,
2013-07,2.144,
2013-10,2.176,
2014-01,2.304,
2014-04,2.422,
2014-07,2.327,
