"",BBK01.OEBK02O,BBK01.OEBK02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:58,
2002-01,-0.781,
2002-04,-0.779,
2002-07,-0.767,
2002-10,-0.853,
2003-01,-0.814,
2003-04,-0.901,
2003-07,-0.932,
2003-10,-0.909,
2004-01,-0.923,
2004-04,-0.994,
2004-07,-1.046,
2004-10,-1.046,
2005-01,0.291,
2005-04,0.294,
2005-07,0.309,
2005-10,0.334,
2006-01,0.350,
2006-04,0.344,
2006-07,0.316,
2006-10,0.311,
2007-01,0.310,
2007-04,0.319,
2007-07,0.315,
2007-10,0.322,
2008-01,0.292,
2008-04,0.279,
2008-07,0.295,
2008-10,0.339,
2009-01,0.363,
2009-04,0.363,
2009-07,0.380,
2009-10,0.398,
2010-01,0.421,
2010-04,0.415,
2010-07,0.417,
2010-10,0.432,
2011-01,0.427,
2011-04,0.433,
2011-07,0.436,
2011-10,0.445,
2012-01,0.413,
2012-04,0.425,
2012-07,0.460,
2012-10,0.479,
2013-01,0.490,
2013-04,0.485,
2013-07,0.483,
2013-10,0.495,
2014-01,0.498,
2014-04,0.509,
2014-07,0.530,
