"",BBK01.OUK112,BBK01.OUK112_FLAGS
"",Sight deposits of domestic banks (MFIs) (excluding the Bundesbank) / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:10:13,
1958-12,0.736,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,0.692,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,0.720,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,0.771,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,0.964,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,0.918,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,0.930,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,0.836,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,1.134,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,0.903,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,1.385,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,1.178,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,1.428,
1965-01,1.559,
1965-02,1.359,
1965-03,1.389,
1965-04,1.311,
1965-05,1.375,
1965-06,1.374,
1965-07,1.465,
1965-08,1.580,
1965-09,1.431,
1965-10,1.478,
1965-11,1.511,
1965-12,1.511,
1966-01,1.473,
1966-02,1.452,
1966-03,1.289,
1966-04,1.361,
1966-05,1.382,
1966-06,1.351,
1966-07,1.490,
1966-08,1.685,
1966-09,1.476,
1966-10,1.695,
1966-11,1.622,
1966-12,1.612,
1967-01,1.739,
1967-02,1.654,
1967-03,1.563,
1967-04,1.562,
1967-05,1.575,
1967-06,1.516,
1967-07,1.635,
1967-08,1.739,
1967-09,1.582,
1967-10,1.717,
1967-11,1.607,
1967-12,1.730,
1968-01,1.722,
1968-02,1.673,
1968-03,1.424,
1968-04,1.649,
1968-05,1.594,
1968-06,1.560,
1968-07,1.848,
1968-08,1.784,
1968-09,1.622,
1968-10,1.794,
1968-11,1.784,
1968-12,1.959,
1969-01,1.747,
1969-02,1.769,
1969-03,1.570,
1969-04,1.707,
1969-05,1.684,
1969-06,1.592,
1969-07,1.941,
1969-08,1.863,
1969-09,1.886,
1969-10,1.872,
1969-11,1.920,
1969-12,1.984,
1970-01,1.659,
1970-02,1.824,
1970-03,1.790,
1970-04,1.877,
1970-05,1.825,
1970-06,2.100,
1970-07,2.298,
1970-08,2.301,
1970-09,2.319,
1970-10,2.233,
1970-11,2.376,
1970-12,2.849,
1971-01,2.221,
1971-02,2.285,
1971-03,2.064,
1971-04,2.390,
1971-05,2.369,
1971-06,2.679,
1971-07,2.600,
1971-08,2.707,
1971-09,2.495,
1971-10,2.541,
1971-11,2.843,
1971-12,3.725,
1972-01,2.586,
1972-02,2.608,
1972-03,2.425,
1972-04,2.674,
1972-05,2.743,
1972-06,2.811,
1972-07,3.110,
1972-08,2.791,
1972-09,2.795,
1972-10,3.115,
1972-11,3.457,
1972-12,3.831,
1973-01,3.061,
1973-02,3.235,
1973-03,3.157,
1973-04,3.904,
1973-05,3.259,
1973-06,3.197,
1973-07,3.550,
1973-08,3.199,
1973-09,3.352,
1973-10,3.781,
1973-11,4.173,
1973-12,4.815,
1974-01,3.833,
1974-02,3.774,
1974-03,3.829,
1974-04,4.575,
1974-05,3.972,
1974-06,3.673,
1974-07,4.521,
1974-08,4.001,
1974-09,4.307,
1974-10,4.229,
1974-11,4.870,
1974-12,5.319,
1975-01,4.400,
1975-02,4.092,
1975-03,3.973,
1975-04,4.539,
1975-05,4.527,
1975-06,4.718,
1975-07,4.591,
1975-08,4.541,
1975-09,4.720,
1975-10,4.425,
1975-11,5.148,
1975-12,6.484,
1976-01,4.581,
1976-02,4.543,
1976-03,4.547,
1976-04,4.165,
1976-05,4.870,
1976-06,4.855,
1976-07,4.818,
1976-08,4.757,
1976-09,4.429,
1976-10,4.813,
1976-11,5.946,
1976-12,6.424,
1977-01,5.303,
1977-02,4.997,
1977-03,4.854,
1977-04,5.148,
1977-05,5.214,
1977-06,5.536,
1977-07,5.480,
1977-08,5.447,
1977-09,5.512,
1977-10,6.011,
1977-11,6.832,
1977-12,7.771,
1978-01,5.491,
1978-02,5.530,
1978-03,5.523,
1978-04,6.099,
1978-05,6.078,
1978-06,6.007,
1978-07,6.152,
1978-08,5.850,
1978-09,6.001,
1978-10,6.461,
1978-11,7.039,
1978-12,7.320,
1979-01,6.255,
1979-02,5.948,
1979-03,5.250,
1979-04,5.739,
1979-05,6.077,
1979-06,5.775,
1979-07,5.882,
1979-08,5.769,
1979-09,5.555,
1979-10,6.209,
1979-11,6.884,
1979-12,7.728,
1980-01,5.924,
1980-02,5.869,
1980-03,5.619,
1980-04,6.108,
1980-05,6.269,
1980-06,7.120,
1980-07,6.645,
1980-08,6.156,
1980-09,7.446,
1980-10,7.601,
1980-11,8.461,
1980-12,7.634,
1981-01,7.176,
1981-02,6.492,
1981-03,7.501,
1981-04,6.615,
1981-05,7.164,
1981-06,7.966,
1981-07,7.352,
1981-08,6.966,
1981-09,6.906,
1981-10,7.584,
1981-11,8.764,
1981-12,8.569,
1982-01,7.514,
1982-02,7.568,
1982-03,7.837,
1982-04,7.653,
1982-05,7.606,
1982-06,7.938,
1982-07,8.394,
1982-08,7.409,
1982-09,7.709,
1982-10,7.945,
1982-11,9.562,
1982-12,9.262,
1983-01,8.587,
1983-02,8.550,
1983-03,8.638,
1983-04,8.038,
1983-05,9.133,
1983-06,8.732,
1983-07,8.088,
1983-08,7.690,
1983-09,7.072,
1983-10,7.386,
1983-11,9.420,
1983-12,8.480,
1984-01,8.265,
1984-02,8.122,
1984-03,8.342,
1984-04,9.332,
1984-05,8.785,
1984-06,7.947,
1984-07,8.908,
1984-08,8.642,
1984-09,7.662,
1984-10,8.712,
1984-11,10.162,
1984-12,10.613,
1985-01,10.052,
1985-02,10.570,
1985-03,7.967,
1985-04,8.955,
1985-05,8.994,
1985-06,9.435,
1985-07,9.744,
1985-08,9.802,
1985-09,10.162,
1985-10,9.861,
1985-11,10.695,
1985-12,11.431,
1986-01,10.375,
1986-02,9.514,
1986-03,9.775,
1986-04,10.936,
1986-05,10.494,
1986-06,10.916,
1986-07,11.117,
1986-08,10.193,
1986-09,10.648,
1986-10,11.787,
1986-11,12.939,
1986-12,12.143,
1987-01,10.347,
1987-02,10.325,
1987-03,10.840,
1987-04,10.970,
1987-05,10.625,
1987-06,10.820,
1987-07,9.922,
1987-08,10.279,
1987-09,10.563,
1987-10,9.805,
1987-11,11.626,
1987-12,10.544,
1988-01,10.725,
1988-02,11.324,
1988-03,9.981,
1988-04,10.557,
1988-05,10.410,
1988-06,10.450,
1988-07,11.070,
1988-08,9.417,
1988-09,8.932,
1988-10,10.234,
1988-11,13.000,
1988-12,9.558,
1989-01,9.485,
1989-02,9.588,
1989-03,8.061,
1989-04,9.218,
1989-05,9.841,
1989-06,8.771,
1989-07,9.828,
1989-08,9.931,
1989-09,9.633,
1989-10,10.339,
1989-11,12.233,
1989-12,11.010,
1990-01,10.027,
1990-02,10.172,
1990-03,8.660,
1990-04,10.810,
1990-05,9.818,
1990-06,18.059,
1990-07,18.511,
1990-08,18.428,
1990-09,14.981,
1990-10,24.816,
1990-11,26.496,
1990-12,22.580,
1991-01,13.298,
1991-02,14.192,
1991-03,13.859,
1991-04,15.408,
1991-05,14.480,
1991-06,15.106,
1991-07,14.183,
1991-08,13.163,
1991-09,14.091,
1991-10,15.302,
1991-11,15.917,
1991-12,16.302,
1992-01,13.715,
1992-02,14.767,
1992-03,14.446,
1992-04,13.832,
1992-05,13.847,
1992-06,14.106,
1992-07,14.722,
1992-08,15.786,
1992-09,16.265,
1992-10,16.964,
1992-11,19.784,
1992-12,19.411,
1993-01,16.908,
1993-02,17.700,
1993-03,16.707,
1993-04,15.988,
1993-05,17.546,
1993-06,18.680,
1993-07,17.502,
1993-08,17.368,
1993-09,19.608,
1993-10,19.483,
1993-11,22.614,
1993-12,19.147,
1994-01,20.121,
1994-02,20.389,
1994-03,18.191,
1994-04,18.697,
1994-05,19.222,
1994-06,19.397,
1994-07,20.373,
1994-08,19.270,
1994-09,17.317,
1994-10,18.730,
1994-11,20.385,
1994-12,18.808,
1995-01,17.342,
1995-02,18.289,
1995-03,17.374,
1995-04,18.510,
1995-05,19.685,
1995-06,19.013,
1995-07,18.556,
1995-08,19.603,
1995-09,20.353,
1995-10,21.927,
1995-11,24.909,
1995-12,25.074,
1996-01,22.441,
1996-02,22.811,
1996-03,22.876,
1996-04,22.690,
1996-05,21.282,
1996-06,20.281,
1996-07,21.354,
1996-08,22.102,
1996-09,22.506,
1996-10,25.241,
1996-11,28.636,
1996-12,23.787,
1997-01,26.826,
1997-02,25.453,
1997-03,24.383,
1997-04,23.407,
1997-05,23.907,
1997-06,25.227,
1997-07,25.381,
1997-08,27.791,
1997-09,25.172,
1997-10,26.554,
1997-11,30.089,
1997-12,27.894,
1998-01,28.831,
1998-02,28.539,
1998-03,27.483,
1998-04,26.200,
1998-05,25.961,
1998-06,28.798,
1998-07,28.083,
1998-08,30.434,
1998-09,29.897,
1998-10,30.969,
1998-11,33.050,
1998-12,32.467,
1999-01,27.447,
1999-02,27.551,
1999-03,26.202,
1999-04,27.905,
1999-05,28.329,
1999-06,28.793,
1999-07,25.586,
1999-08,22.967,
1999-09,24.306,
1999-10,24.450,
1999-11,27.469,
1999-12,21.259,
2000-01,22.727,
2000-02,21.743,
2000-03,20.052,
2000-04,21.243,
2000-05,19.734,
2000-06,18.630,
2000-07,17.419,
2000-08,17.480,
2000-09,16.979,
2000-10,18.211,
2000-11,23.014,
2000-12,21.317,
2001-01,20.310,
2001-02,22.540,
2001-03,22.489,
2001-04,24.528,
2001-05,22.652,
2001-06,25.281,
2001-07,23.327,
2001-08,25.495,
2001-09,31.705,
2001-10,27.331,
2001-11,39.006,
2001-12,29.402,
2002-01,25.749,
2002-02,28.595,
2002-03,24.376,
2002-04,23.476,
2002-05,21.796,
2002-06,23.918,
2002-07,24.837,
2002-08,26.050,
2002-09,26.548,
2002-10,30.045,
