"",BBK01.CEBP01,BBK01.CEBP01_FLAGS
"",Time deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:34,
1991-01,86.7,
1991-04,86.9,
1991-07,86.6,
1991-10,90.1,
1992-01,89.6,
1992-04,93.4,
1992-07,95.7,
1992-10,90.3,
1993-01,92.3,
1993-04,90.9,
1993-07,93.5,
1993-10,99.9,
1994-01,104.6,
1994-04,102.4,
1994-07,104.6,
1994-10,110.5,
1995-01,115.5,
1995-04,117.7,
1995-07,117.5,
1995-10,109.3,
1996-01,110.4,
1996-04,106.2,
1996-07,106.7,
1996-10,119.3,
1997-01,124.0,
1997-04,120.2,
1997-07,119.8,
1997-10,116.7,
1998-01,117.9,
1998-04,116.0,
1998-07,117.3,
1998-10,115.4,
1999-01,119.4,
1999-04,120.6,
1999-07,121.0,
1999-10,119.2,
2000-01,125.6,
2000-04,123.7,
2000-07,124.2,
2000-10,115.1,
2001-01,125.7,
2001-04,119.0,
2001-07,119.9,
2001-10,121.2,
2002-01,116.7,
2002-04,120.1,
2002-07,124.1,
2002-10,124.6,
2003-01,124.6,
2003-04,126.8,
2003-07,126.2,
2003-10,120.8,
2004-01,117.4,
2004-04,117.5,
2004-07,117.3,
2004-10,127.0,
2005-01,123.5,
2005-04,124.7,
2005-07,133.2,
2005-10,130.9,
2006-01,133.6,
2006-04,136.9,
2006-07,139.0,
2006-10,138.1,
2007-01,143.0,
2007-04,138.3,
2007-07,153.8,
2007-10,161.9,
2008-01,148.4,
2008-04,154.5,
2008-07,158.8,
2008-10,154.2,
2009-01,144.8,
2009-04,137.8,
2009-07,139.4,
2009-10,126.3,
2010-01,126.1,
2010-04,110.7,
2010-07,122.3,
2010-10,125.5,
2011-01,115.6,
2011-04,103.0,
2011-07,86.9,
2011-10,98.2,
2012-01,95.4,
2012-04,81.7,
2012-07,75.9,
2012-10,82.1,
2013-01,63.5,
2013-04,45.5,
2013-07,62.7,
2013-10,66.8,
2014-01,44.9,
