"",BBK01.OECB07M,BBK01.OECB07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:38,
2002-01,1.234,
2002-04,0.894,
2002-07,0.774,
2002-10,0.706,
2003-01,0.785,
2003-04,0.670,
2003-07,0.756,
2003-10,0.618,
2004-01,0.629,
2004-04,0.707,
2004-07,0.917,
2004-10,0.660,
2005-01,2.154,
2005-04,0.816,
2005-07,0.849,
2005-10,0.834,
2006-01,0.820,
2006-04,0.819,
2006-07,0.886,
2006-10,1.392,
2007-01,0.859,
2007-04,0.866,
2007-07,0.955,
2007-10,1.312,
2008-01,1.254,
2008-04,1.271,
2008-07,1.279,
2008-10,1.254,
2009-01,1.295,
2009-04,1.300,
2009-07,1.248,
2009-10,1.065,
2010-01,1.092,
2010-04,0.830,
2010-07,0.888,
2010-10,0.847,
2011-01,0.804,
2011-04,0.780,
2011-07,0.808,
2011-10,0.847,
2012-01,0.841,
2012-04,0.821,
2012-07,0.847,
2012-10,0.809,
2013-01,0.807,
2013-04,0.955,
2013-07,0.940,
2013-10,0.927,
2014-01,0.987,
2014-04,0.944,
2014-07,0.918,
