"",BBK01.OEAE02K,BBK01.OEAE02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:49,
2002-01,8.308,
2002-04,8.557,
2002-07,8.720,
2002-10,8.947,
2003-01,8.868,
2003-04,8.682,
2003-07,8.624,
2003-10,8.452,
2004-01,7.612,
2004-04,13.929,
2004-07,14.057,
2004-10,14.379,
2005-01,13.102,
2005-04,13.049,
2005-07,13.054,
2005-10,13.008,
2006-01,13.451,
2006-04,13.294,
2006-07,13.292,
2006-10,13.266,
2007-01,13.046,
2007-04,12.864,
2007-07,12.854,
2007-10,12.836,
2008-01,12.935,
2008-04,13.413,
2008-07,13.665,
2008-10,13.278,
2009-01,14.115,
2009-04,14.949,
2009-07,14.849,
2009-10,15.092,
2010-01,14.349,
2010-04,14.158,
2010-07,13.833,
2010-10,14.211,
2011-01,14.000,
2011-04,14.030,
2011-07,14.109,
2011-10,14.141,
2012-01,14.322,
2012-04,14.648,
2012-07,14.881,
2012-10,15.273,
2013-01,14.888,
2013-04,15.069,
2013-07,15.435,
2013-10,15.687,
2014-01,16.013,
2014-04,16.152,
2014-07,16.064,
