"",BBK01.OECO05L,BBK01.OECO05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:50,
2002-01,-0.052,
2002-04,-0.025,
2002-07,-0.018,
2002-10,-0.001,
2003-01,-0.025,
2003-04,-0.017,
2003-07,-0.018,
2003-10,0.007,
2004-01,-0.012,
2004-04,-0.012,
2004-07,-0.012,
2004-10,0.008,
2005-01,0.003,
2005-04,0.005,
2005-07,-0.010,
2005-10,0.056,
2006-01,-0.005,
2006-04,-0.007,
2006-07,-0.009,
2006-10,0.061,
2007-01,-0.015,
2007-04,-0.014,
2007-07,-0.016,
2007-10,0.071,
2008-01,-0.031,
2008-04,-0.022,
2008-07,-0.029,
2008-10,0.050,
2009-01,-0.040,
2009-04,-0.026,
2009-07,-0.031,
2009-10,-0.021,
2010-01,0.004,
2010-04,0.004,
2010-07,0.003,
2010-10,0.074,
2011-01,0.003,
2011-04,0.003,
2011-07,0.004,
2011-10,0.009,
2012-01,0.006,
2012-04,0.004,
2012-07,0.006,
2012-10,0.052,
2013-01,0.010,
2013-04,0.002,
2013-07,0.002,
2013-10,0.029,
2014-01,0.002,
2014-04,0.002,
2014-07,0.003,
