"",BBK01.OEHB13V,BBK01.OEHB13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:44,
2002-01,3.757,
2002-04,3.776,
2002-07,3.742,
2002-10,3.726,
2003-01,3.675,
2003-04,3.678,
2003-07,3.653,
2003-10,3.600,
2004-01,3.478,
2004-04,3.429,
2004-07,3.392,
2004-10,3.335,
2005-01,3.234,
2005-04,3.205,
2005-07,3.144,
2005-10,3.104,
2006-01,3.076,
2006-04,3.075,
2006-07,3.034,
2006-10,3.031,
2007-01,2.994,
2007-04,2.944,
2007-07,2.898,
2007-10,2.898,
2008-01,2.848,
2008-04,2.826,
2008-07,2.807,
2008-10,2.801,
2009-01,2.769,
2009-04,2.770,
2009-07,2.774,
2009-10,2.764,
2010-01,2.713,
2010-04,2.718,
2010-07,2.733,
2010-10,2.736,
2011-01,2.735,
2011-04,2.741,
2011-07,2.751,
2011-10,2.718,
2012-01,2.707,
2012-04,2.715,
2012-07,2.714,
2012-10,2.705,
2013-01,2.734,
2013-04,2.748,
2013-07,2.778,
2013-10,2.766,
2014-01,2.762,
2014-04,2.780,
2014-07,2.800,
