"",BBK01.OEYK01L,BBK01.OEYK01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:45,
2002-01,0.127,
2002-04,0.128,
2002-07,0.121,
2002-10,0.162,
2003-01,0.208,
2003-04,0.179,
2003-07,0.180,
2003-10,0.189,
2004-01,0.196,
2004-04,0.182,
2004-07,0.162,
2004-10,0.193,
2005-01,0.192,
2005-04,0.196,
2005-07,0.204,
2005-10,0.133,
2006-01,0.139,
2006-04,0.217,
2006-07,0.229,
2006-10,0.162,
2007-01,0.193,
2007-04,0.194,
2007-07,0.152,
2007-10,0.118,
2008-01,0.124,
2008-04,0.100,
2008-07,0.103,
2008-10,0.088,
2009-01,0.098,
2009-04,0.116,
2009-07,0.133,
2009-10,0.127,
2010-01,0.126,
2010-04,0.119,
2010-07,0.100,
2010-10,0.087,
2011-01,0.088,
2011-04,0.077,
2011-07,0.081,
2011-10,0.064,
2012-01,0.068,
2012-04,0.072,
2012-07,0.072,
2012-10,0.060,
2013-01,0.065,
2013-04,0.065,
2013-07,0.055,
2013-10,0.032,
2014-01,0.032,
2014-04,0.038,
2014-07,0.033,
