"",BBEX3.M.HKD.USD.CA.AC.A01,BBEX3.M.HKD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Hong Kong / USD 1 = HKD ... (middle),
unit,HKD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:46,
1998-01,7.747500,
1998-02,7.742000,
1998-03,7.747000,
1998-04,7.750000,
1998-05,7.749000,
1998-06,7.749000,
1998-07,7.747500,
1998-08,7.747000,
1998-09,7.748500,
1998-10,7.749000,
1998-11,7.743000,
1998-12,7.746500,
1999-01,7.748500,
1999-02,7.748500,
1999-03,7.750000,
1999-04,7.751000,
1999-05,7.755000,
1999-06,7.758500,
1999-07,7.762000,
1999-08,7.765500,
1999-09,7.768000,
1999-10,7.771000,
1999-11,7.773500,
1999-12,7.772500,
2000-01,7.780500,
2000-02,7.782500,
2000-03,7.787500,
2000-04,7.788750,
2000-05,7.792500,
2000-06,7.795750,
2000-07,7.798750,
2000-08,7.798750,
2000-09,7.796000,
2000-10,7.799750,
2000-11,7.800250,
2000-12,7.799250,
2001-01,7.799250,
2001-02,7.799750,
2001-03,7.799000,
2001-04,7.798750,
2001-05,7.799750,
2001-06,7.799250,
2001-07,7.799250,
2001-08,7.799500,
2001-09,7.798750,
2001-10,7.799500,
2001-11,7.798000,
2001-12,7.797250,
2002-01,7.799000,
2002-02,7.798750,
2002-03,7.799250,
2002-04,7.798750,
2002-05,7.799500,
2002-06,7.799500,
2002-07,7.799500,
2002-08,7.799000,
2002-09,7.799500,
2002-10,7.799000,
2002-11,7.798000,
2002-12,7.798500,
2003-01,7.799500,
2003-02,7.799000,
2003-03,7.799000,
2003-04,7.799000,
2003-05,7.798250,
2003-06,7.798000,
2003-07,7.799000,
2003-08,7.799000,
2003-09,7.742250,
2003-10,7.765500,
2003-11,7.765500,
2003-12,7.763750,
2004-01,7.773500,
2004-02,7.780750,
2004-03,7.790750,
2004-04,7.800000,
2004-05,7.793250,
2004-06,7.800750,
2004-07,7.800250,
2004-08,7.799750,
2004-09,7.798500,
2004-10,7.780000,
2004-11,7.776750,
2004-12,7.775750,
2005-01,7.800250,
2005-02,7.799500,
2005-03,7.799500,
2005-04,7.797000,
2005-05,7.778500,
2005-06,7.772250,
2005-07,7.773750,
2005-08,7.771750,
2005-09,7.757000,
2005-10,7.752250,
2005-11,7.754250,
2005-12,7.753250,
2006-01,7.756250,
2006-02,7.758750,
2006-03,7.760000,
2006-04,7.754250,
2006-05,7.758500,
2006-06,7.768250,
2006-07,7.772250,
2006-08,7.778250,
2006-09,7.792750,
2006-10,7.776750,
2006-11,7.776250,
2006-12,7.777250,
2007-01,7.806750,
2007-02,7.810000,
2007-03,7.814750,
2007-04,7.821250,
2007-05,7.809250,
2007-06,7.816750,
2007-07,7.825250,
2007-08,7.797250,
2007-09,7.759250,
2007-10,7.750000,
2007-11,7.791250,
2007-12,7.801000,
2008-01,7.799750,
2008-02,7.782750,
2008-03,7.784250,
2008-04,7.794250,
2008-05,7.804750,
2008-06,7.799250,
2008-07,7.802750,
2008-08,7.807500,
2008-09,7.766750,
2008-10,7.751250,
2008-11,7.750250,
2008-12,7.750000,
2009-01,7.756250,
2009-02,7.754000,
2009-03,7.750000,
2009-04,7.750250,
2009-05,7.752500,
2009-06,7.750000,
2009-07,7.750250,
2009-08,7.750750,
2009-09,7.750250,
2009-10,7.750250,
2009-11,7.750250,
2009-12,7.754250,
2010-01,7.768000,
2010-02,7.762250,
2010-03,7.758750,comment
2010-04,7.765250,
2010-05,7.791750,
2010-06,7.784250,
2010-07,7.767250,
2010-08,7.780750,
2010-09,7.759250,
2010-10,7.756750,
2010-11,7.766000,
2010-12,7.773250,
2011-01,7.795000,
2011-02,7.791750,
2011-03,7.787250,
2011-04,7.772750,
2011-05,7.778500,
2011-06,7.782750,
2011-07,7.793750,
2011-08,7.796750,
2011-09,7.792100,
2011-10,7.766700,
2011-11,7.789300,
2011-12,7.768600,
2012-01,7.756100,
2012-02,7.754600,
2012-03,7.763800,
2012-04,7.758400,
2012-05,7.764000,
2012-06,7.756500,
2012-07,7.754300,
2012-08,7.755500,
2012-09,7.754000,
2012-10,7.750000,
2012-11,7.749200,
2012-12,7.749900,
2013-01,7.756400,
2013-02,7.755550,
2013-03,7.762550,
2013-04,7.760150,
2013-05,7.762850,
2013-06,7.755850,
2013-07,7.754250,
2013-08,7.754350,
2013-09,7.753250,
2013-10,7.752350,
2013-11,7.752050,
2013-12,7.753900,
2014-01,7.765950,
2014-02,7.760550,
2014-03,7.756150,
2014-04,7.752200,
2014-05,7.752000,
2014-06,7.750100,
2014-07,7.750000,
2014-08,7.749200,
2014-09,7.762500,
2014-10,7.754600,
2014-11,7.752100,
2014-12,7.754300,
2015-01,7.751400,
"","Source: Calculated on the basis of the buying and selling rates of the Hongkong and Shanghai Banking Corporation Ltd., Hong Kong.",
"",Comment on 2010-03: Exchange rate as of 1 April 2010.,
