"",BBSF2.M.1.T.00000.ALT01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Pension investment funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:22,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,0,
2009-12,0,
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,0,
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,0,
2010-08,0,
2010-09,-,Nothing exists
2010-10,1,
2010-11,1,
2010-12,1,
2011-01,0,
2011-02,-,Nothing exists
2011-03,0,
2011-04,0,
2011-05,0,
2011-06,0,
2011-07,0,
2011-08,2,
2011-09,1,
2011-10,2,
2011-11,1,
2011-12,2,
2012-01,2,
2012-02,0,
2012-03,0,
2012-04,0,
2012-05,0,
2012-06,-,Nothing exists
2012-07,1,
2012-08,0,
2012-09,0,
2012-10,0,
2012-11,0,
2012-12,0,
2013-01,0,
2013-02,-,Nothing exists
2013-03,0,
2013-04,2,
2013-05,0,
2013-06,1,
2013-07,0,
2013-08,0,
2013-09,0,
2013-10,0,
2013-11,0,
2013-12,-,Nothing exists
2014-01,0,
2014-02,0,
2014-03,2,
2014-04,1,
2014-05,2,
2014-06,1,
2014-07,0,
2014-08,0,
2014-09,0,
2014-10,0,
2014-11,0,
