"",BBK01.OEAF28N,BBK01.OEAF28N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:48,
2002-01,0.117,
2002-04,0.122,
2002-07,0.114,
2002-10,0.109,
2003-01,0.104,
2003-04,0.103,
2003-07,0.115,
2003-10,0.125,
2004-01,0.124,
2004-04,0.120,
2004-07,0.138,
2004-10,0.153,
2005-01,0.160,
2005-04,0.160,
2005-07,0.190,
2005-10,0.252,
2006-01,0.244,
2006-04,0.251,
2006-07,0.247,
2006-10,0.225,
2007-01,0.298,
2007-04,0.296,
2007-07,0.299,
2007-10,0.273,
2008-01,0.189,
2008-04,0.186,
2008-07,0.177,
2008-10,0.167,
2009-01,0.102,
2009-04,0.128,
2009-07,0.127,
2009-10,0.134,
2010-01,0.141,
2010-04,0.128,
2010-07,0.130,
2010-10,0.135,
2011-01,0.127,
2011-04,0.135,
2011-07,0.128,
2011-10,0.126,
2012-01,0.133,
2012-04,0.116,
2012-07,0.116,
2012-10,0.112,
2013-01,0.114,
2013-04,0.107,
2013-07,0.108,
2013-10,0.109,
2014-01,0.085,
2014-04,0.116,
2014-07,0.116,
