"",BBK01.OEAA05T,BBK01.OEAA05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:18,
2002-01,19.981,
2002-04,20.042,
2002-07,20.068,
2002-10,20.365,
2003-01,21.235,
2003-04,21.234,
2003-07,21.396,
2003-10,21.339,
2004-01,21.652,
2004-04,21.716,
2004-07,21.398,
2004-10,21.446,
2005-01,22.070,
2005-04,22.037,
2005-07,22.005,
2005-10,21.999,
2006-01,21.881,
2006-04,22.054,
2006-07,22.202,
2006-10,22.274,
2007-01,22.186,
2007-04,21.942,
2007-07,22.072,
2007-10,21.939,
2008-01,21.966,
2008-04,22.010,
2008-07,22.361,
2008-10,22.695,
2009-01,22.568,
2009-04,23.204,
2009-07,23.285,
2009-10,23.558,
2010-01,23.497,
2010-04,23.630,
2010-07,24.437,
2010-10,24.364,
2011-01,24.704,
2011-04,24.977,
2011-07,25.333,
2011-10,25.604,
2012-01,26.029,
2012-04,26.385,
2012-07,26.690,
2012-10,26.827,
2013-01,27.358,
2013-04,27.006,
2013-07,27.140,
2013-10,27.081,
2014-01,27.212,
2014-04,27.536,
2014-07,27.785,
