"",BBK01.OEAH51N,BBK01.OEAH51N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:30,
2002-01,0.116,
2002-04,0.113,
2002-07,0.107,
2002-10,0.106,
2003-01,0.106,
2003-04,0.106,
2003-07,0.103,
2003-10,0.119,
2004-01,0.122,
2004-04,0.111,
2004-07,0.107,
2004-10,0.110,
2005-01,0.115,
2005-04,0.106,
2005-07,0.114,
2005-10,0.125,
2006-01,0.138,
2006-04,0.155,
2006-07,0.196,
2006-10,0.229,
2007-01,0.293,
2007-04,0.358,
2007-07,0.421,
2007-10,0.509,
2008-01,0.567,
2008-04,0.621,
2008-07,0.673,
2008-10,0.779,
2009-01,0.784,
2009-04,0.640,
2009-07,0.473,
2009-10,0.343,
2010-01,0.241,
2010-04,0.213,
2010-07,0.219,
2010-10,0.237,
2011-01,0.274,
2011-04,0.294,
2011-07,0.313,
2011-10,0.313,
2012-01,0.311,
2012-04,0.313,
2012-07,0.295,
2012-10,0.279,
2013-01,0.240,
2013-04,0.215,
2013-07,0.197,
2013-10,0.187,
2014-01,0.166,
2014-04,0.127,
2014-07,0.112,
