"",BBK01.OEAH20J,BBK01.OEAH20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:02,
2002-01,0.025,
2002-04,0.029,
2002-07,0.027,
2002-10,0.028,
2003-01,0.025,
2003-04,0.017,
2003-07,0.021,
2003-10,0.025,
2004-01,0.078,
2004-04,0.084,
2004-07,0.121,
2004-10,0.122,
2005-01,0.125,
2005-04,0.141,
2005-07,0.104,
2005-10,0.093,
2006-01,0.065,
2006-04,0.087,
2006-07,0.107,
2006-10,0.112,
2007-01,0.112,
2007-04,0.108,
2007-07,0.135,
2007-10,0.172,
2008-01,0.176,
2008-04,0.208,
2008-07,0.283,
2008-10,0.318,
2009-01,0.399,
2009-04,0.382,
2009-07,0.314,
2009-10,0.276,
2010-01,0.204,
2010-04,0.111,
2010-07,0.165,
2010-10,0.177,
2011-01,0.128,
2011-04,0.141,
2011-07,0.159,
2011-10,0.182,
2012-01,0.211,
2012-04,0.196,
2012-07,0.197,
2012-10,0.192,
2013-01,0.183,
2013-04,0.173,
2013-07,0.154,
2013-10,0.140,
2014-01,0.165,
2014-04,0.140,
2014-07,0.139,
