"",BBK01.OEXK06N,BBK01.OEXK06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:33,
2002-01,0.035,
2002-04,0.036,
2002-07,0.036,
2002-10,0.028,
2003-01,0.029,
2003-04,0.026,
2003-07,0.029,
2003-10,0.033,
2004-01,0.046,
2004-04,0.049,
2004-07,0.050,
2004-10,0.049,
2005-01,0.060,
2005-04,0.061,
2005-07,0.066,
2005-10,0.063,
2006-01,0.063,
2006-04,0.065,
2006-07,0.079,
2006-10,0.082,
2007-01,0.080,
2007-04,0.085,
2007-07,0.083,
2007-10,0.099,
2008-01,0.124,
2008-04,0.156,
2008-07,0.171,
2008-10,0.208,
2009-01,0.292,
2009-04,0.256,
2009-07,0.202,
2009-10,0.183,
2010-01,0.184,
2010-04,0.258,
2010-07,0.291,
2010-10,0.312,
2011-01,0.347,
2011-04,0.405,
2011-07,0.438,
2011-10,0.390,
2012-01,0.402,
2012-04,0.420,
2012-07,0.439,
2012-10,0.423,
2013-01,0.382,
2013-04,0.329,
2013-07,0.319,
2013-10,0.312,
2014-01,0.300,
2014-04,0.085,
2014-07,0.073,
