"",BBK01.OEAE04Q,BBK01.OEAE04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:19,
2002-01,7.033,
2002-04,7.140,
2002-07,7.201,
2002-10,7.591,
2003-01,7.456,
2003-04,8.082,
2003-07,7.792,
2003-10,8.157,
2004-01,8.168,
2004-04,5.526,
2004-07,5.490,
2004-10,6.250,
2005-01,6.235,
2005-04,6.394,
2005-07,6.484,
2005-10,6.378,
2006-01,6.259,
2006-04,6.381,
2006-07,6.440,
2006-10,6.791,
2007-01,6.488,
2007-04,6.198,
2007-07,5.936,
2007-10,6.087,
2008-01,5.302,
2008-04,5.381,
2008-07,5.390,
2008-10,5.355,
2009-01,3.528,
2009-04,3.414,
2009-07,3.702,
2009-10,3.807,
2010-01,4.341,
2010-04,4.350,
2010-07,4.178,
2010-10,4.238,
2011-01,3.954,
2011-04,3.960,
2011-07,3.540,
2011-10,3.609,
2012-01,3.674,
2012-04,3.776,
2012-07,3.833,
2012-10,4.144,
2013-01,4.207,
2013-04,4.225,
2013-07,4.291,
2013-10,4.587,
2014-01,4.556,
2014-04,4.573,
2014-07,4.517,
