"",BBK01.OEAL08T,BBK01.OEAL08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:44,
2002-01,8.620,
2002-04,8.351,
2002-07,8.366,
2002-10,8.675,
2003-01,8.852,
2003-04,8.912,
2003-07,9.034,
2003-10,9.208,
2004-01,9.264,
2004-04,9.214,
2004-07,9.158,
2004-10,9.343,
2005-01,10.127,
2005-04,10.102,
2005-07,10.172,
2005-10,10.325,
2006-01,10.333,
2006-04,10.230,
2006-07,10.107,
2006-10,10.075,
2007-01,9.997,
2007-04,9.891,
2007-07,9.742,
2007-10,9.798,
2008-01,9.707,
2008-04,9.651,
2008-07,9.498,
2008-10,9.528,
2009-01,9.668,
2009-04,9.650,
2009-07,9.752,
2009-10,10.027,
2010-01,10.202,
2010-04,10.268,
2010-07,10.358,
2010-10,10.623,
2011-01,10.716,
2011-04,10.701,
2011-07,10.604,
2011-10,10.703,
2012-01,10.828,
2012-04,10.823,
2012-07,10.887,
2012-10,11.093,
2013-01,11.187,
2013-04,11.196,
2013-07,11.236,
2013-10,11.337,
2014-01,11.339,
2014-04,11.329,
2014-07,11.367,
