"",BBK01.OELK01L,BBK01.OELK01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:11,
2002-01,2.498,
2002-04,2.492,
2002-07,2.485,
2002-10,2.580,
2003-01,2.522,
2003-04,2.520,
2003-07,2.536,
2003-10,2.584,
2004-01,2.558,
2004-04,2.541,
2004-07,2.556,
2004-10,2.634,
2005-01,2.585,
2005-04,2.645,
2005-07,2.703,
2005-10,2.792,
2006-01,2.741,
2006-04,2.753,
2006-07,2.790,
2006-10,2.937,
2007-01,2.923,
2007-04,3.039,
2007-07,3.118,
2007-10,3.384,
2008-01,3.302,
2008-04,3.301,
2008-07,3.347,
2008-10,3.634,
2009-01,3.447,
2009-04,3.469,
2009-07,3.509,
2009-10,3.563,
2010-01,3.577,
2010-04,3.648,
2010-07,3.718,
2010-10,3.829,
2011-01,3.763,
2011-04,3.822,
2011-07,3.850,
2011-10,4.015,
2012-01,3.948,
2012-04,3.968,
2012-07,4.088,
2012-10,4.176,
2013-01,4.114,
2013-04,4.159,
2013-07,4.244,
2013-10,4.352,
2014-01,4.420,
2014-04,4.465,
2014-07,4.579,
