"",BBK01.OEAH94T,BBK01.OEAH94T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:10,
2002-01,0.046,
2002-04,0.046,
2002-07,0.046,
2002-10,0.046,
2003-01,0.046,
2003-04,0.050,
2003-07,0.050,
2003-10,0.050,
2004-01,0.054,
2004-04,0.054,
2004-07,0.059,
2004-10,0.059,
2005-01,0.059,
2005-04,0.059,
2005-07,0.059,
2005-10,0.059,
2006-01,0.059,
2006-04,0.059,
2006-07,0.059,
2006-10,0.059,
2007-01,0.059,
2007-04,0.059,
2007-07,0.061,
2007-10,0.061,
2008-01,0.056,
2008-04,0.056,
2008-07,0.056,
2008-10,0.051,
2009-01,0.051,
2009-04,0.051,
2009-07,0.051,
2009-10,0.048,
2010-01,0.048,
2010-04,0.036,
2010-07,0.029,
2010-10,0.029,
2011-01,0.029,
2011-04,0.029,
2011-07,0.029,
2011-10,0.028,
2012-01,0.028,
2012-04,0.028,
2012-07,0.023,
2012-10,0.023,
2013-01,0.023,
2013-04,0.019,
2013-07,0.019,
2013-10,0.019,
2014-01,0.015,
2014-04,0.015,
2014-07,0.015,
