"",BBK01.OEAH61R,BBK01.OEAH61R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:53,
2002-01,0.016,
2002-04,0.014,
2002-07,0.014,
2002-10,0.018,
2003-01,0.016,
2003-04,0.012,
2003-07,0.015,
2003-10,0.019,
2004-01,0.019,
2004-04,0.018,
2004-07,0.021,
2004-10,0.020,
2005-01,0.088,
2005-04,0.089,
2005-07,0.092,
2005-10,0.090,
2006-01,0.094,
2006-04,0.102,
2006-07,0.105,
2006-10,0.107,
2007-01,0.114,
2007-04,0.115,
2007-07,0.127,
2007-10,0.146,
2008-01,0.145,
2008-04,0.148,
2008-07,0.156,
2008-10,0.156,
2009-01,0.167,
2009-04,0.171,
2009-07,0.166,
2009-10,0.178,
2010-01,0.181,
2010-04,0.180,
2010-07,0.179,
2010-10,0.172,
2011-01,0.174,
2011-04,0.175,
2011-07,0.167,
2011-10,0.171,
2012-01,0.169,
2012-04,0.162,
2012-07,0.155,
2012-10,0.146,
2013-01,0.136,
2013-04,0.135,
2013-07,0.131,
2013-10,0.132,
2014-01,0.122,
2014-04,0.118,
2014-07,0.112,
