"",BBK01.OELI05J,BBK01.OELI05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:51,
2002-01,0.062,
2002-04,0.066,
2002-07,0.066,
2002-10,0.064,
2003-01,0.066,
2003-04,0.046,
2003-07,0.046,
2003-10,0.054,
2004-01,0.053,
2004-04,0.053,
2004-07,0.052,
2004-10,0.046,
2005-01,0.150,
2005-04,0.092,
2005-07,0.086,
2005-10,0.089,
2006-01,0.100,
2006-04,0.101,
2006-07,0.097,
2006-10,0.095,
2007-01,0.092,
2007-04,0.089,
2007-07,0.087,
2007-10,0.088,
2008-01,0.042,
2008-04,0.043,
2008-07,0.041,
2008-10,0.036,
2009-01,0.019,
2009-04,0.019,
2009-07,0.017,
2009-10,0.018,
2010-01,0.017,
2010-04,0.017,
2010-07,0.016,
2010-10,0.020,
2011-01,0.018,
2011-04,0.018,
2011-07,0.016,
2011-10,0.016,
2012-01,0.014,
2012-04,0.015,
2012-07,0.015,
2012-10,0.013,
2013-01,0.014,
2013-04,0.015,
2013-07,0.015,
2013-10,0.014,
2014-01,0.035,
2014-04,0.029,
2014-07,0.027,
