"",BBK01.OEXK02R,BBK01.OEXK02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:08,
2002-01,0.155,
2002-04,0.151,
2002-07,0.161,
2002-10,0.168,
2003-01,0.166,
2003-04,0.169,
2003-07,0.177,
2003-10,0.182,
2004-01,0.178,
2004-04,0.183,
2004-07,0.193,
2004-10,0.125,
2005-01,0.114,
2005-04,0.120,
2005-07,0.129,
2005-10,0.139,
2006-01,0.126,
2006-04,0.131,
2006-07,0.143,
2006-10,0.163,
2007-01,0.133,
2007-04,0.140,
2007-07,0.149,
2007-10,0.159,
2008-01,0.150,
2008-04,0.141,
2008-07,0.145,
2008-10,0.163,
2009-01,0.150,
2009-04,0.163,
2009-07,0.172,
2009-10,0.194,
2010-01,0.178,
2010-04,0.247,
2010-07,0.251,
2010-10,0.265,
2011-01,0.271,
2011-04,0.279,
2011-07,0.304,
2011-10,0.315,
2012-01,0.298,
2012-04,0.312,
2012-07,0.320,
2012-10,0.350,
2013-01,0.366,
2013-04,0.376,
2013-07,0.403,
2013-10,0.408,
2014-01,0.419,
2014-04,0.431,
2014-07,0.453,
