"",BBK01.OEBL01P,BBK01.OEBL01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:03,
2002-01,0.955,
2002-04,0.915,
2002-07,0.902,
2002-10,0.909,
2003-01,0.879,
2003-04,0.875,
2003-07,0.897,
2003-10,0.918,
2004-01,0.922,
2004-04,0.940,
2004-07,0.933,
2004-10,0.999,
2005-01,1.506,
2005-04,1.522,
2005-07,1.541,
2005-10,1.582,
2006-01,1.575,
2006-04,1.563,
2006-07,1.509,
2006-10,1.533,
2007-01,1.574,
2007-04,1.638,
2007-07,1.732,
2007-10,1.820,
2008-01,1.865,
2008-04,1.916,
2008-07,2.030,
2008-10,2.212,
2009-01,2.232,
2009-04,2.247,
2009-07,2.323,
2009-10,2.274,
2010-01,2.193,
2010-04,2.192,
2010-07,2.174,
2010-10,2.245,
2011-01,2.206,
2011-04,2.195,
2011-07,2.226,
2011-10,2.296,
2012-01,2.397,
2012-04,2.382,
2012-07,2.352,
2012-10,2.302,
2013-01,2.220,
2013-04,2.188,
2013-07,2.137,
2013-10,2.125,
2014-01,2.094,
2014-04,2.033,
2014-07,2.049,
