"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SE.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SE.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Sweden / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:00,
2009-09,427,
2009-10,417,
2009-11,484,
2009-12,484,
2010-01,476,
2010-02,491,
2010-03,403,
2010-04,413,
2010-05,415,
2010-06,421,
2010-07,455,
2010-08,463,
2010-09,466,
2010-10,449,
2010-11,480,
2010-12,500,
2011-01,510,
2011-02,517,
2011-03,518,
2011-04,501,
2011-05,526,
2011-06,514,
2011-07,522,
2011-08,584,
2011-09,499,
2011-10,528,
2011-11,519,
2011-12,552,
2012-01,563,
2012-02,597,
2012-03,602,
2012-04,609,
2012-05,674,
2012-06,701,
2012-07,689,
2012-08,684,
2012-09,666,
2012-10,624,
2012-11,648,
2012-12,619,
2013-01,658,
2013-02,744,
2013-03,781,
2013-04,795,
2013-05,801,
2013-06,775,
2013-07,772,
2013-08,754,
2013-09,746,
2013-10,740,
2013-11,752,
2013-12,714,
2014-01,720,
2014-02,762,
2014-03,737,
2014-04,707,
2014-05,649,
2014-06,629,
2014-07,581,
2014-08,601,
2014-09,613,
2014-10,641,
2014-11,638,
