"",BBEX3.D.TND.USD.CA.AB.000,BBEX3.D.TND.USD.CA.AB.000_FLAGS
1976-03-30,.,No value available
1976-03-31,0.4320,
1976-04-01,.,No value available
1976-04-02,.,No value available
1976-04-03,.,No value available
1976-04-04,.,No value available
1976-04-05,.,No value available
1976-04-06,.,No value available
1976-04-07,.,No value available
1976-04-08,.,No value available
1976-04-09,.,No value available
1976-04-10,.,No value available
1976-04-11,.,No value available
1976-04-12,.,No value available
1976-04-13,.,No value available
1976-04-14,.,No value available
1976-04-15,0.4300,
1976-04-16,.,No value available
1976-04-17,.,No value available
1976-04-18,.,No value available
1976-04-19,.,No value available
1976-04-20,.,No value available
1976-04-21,.,No value available
1976-04-22,.,No value available
1976-04-23,.,No value available
1976-04-24,.,No value available
1976-04-25,.,No value available
1976-04-26,.,No value available
1976-04-27,.,No value available
1976-04-28,.,No value available
1976-04-29,.,No value available
1976-04-30,0.4291,
1976-05-01,.,No value available
1976-05-02,.,No value available
1976-05-03,.,No value available
1976-05-04,.,No value available
1976-05-05,.,No value available
1976-05-06,.,No value available
1976-05-07,.,No value available
1976-05-08,.,No value available
1976-05-09,.,No value available
1976-05-10,.,No value available
1976-05-11,.,No value available
1976-05-12,.,No value available
1976-05-13,.,No value available
1976-05-14,.,No value available
1976-05-15,.,No value available
1976-05-16,.,No value available
1976-05-17,0.4332,
1976-05-18,.,No value available
1976-05-19,.,No value available
1976-05-20,.,No value available
1976-05-21,.,No value available
1976-05-22,.,No value available
1976-05-23,.,No value available
1976-05-24,.,No value available
1976-05-25,.,No value available
1976-05-26,.,No value available
1976-05-27,.,No value available
1976-05-28,.,No value available
1976-05-29,.,No value available
1976-05-30,.,No value available
1976-05-31,0.4382,
1976-06-01,.,No value available
1976-06-02,.,No value available
1976-06-03,.,No value available
1976-06-04,.,No value available
1976-06-05,.,No value available
1976-06-06,.,No value available
1976-06-07,.,No value available
1976-06-08,.,No value available
1976-06-09,.,No value available
1976-06-10,.,No value available
1976-06-11,.,No value available
1976-06-12,.,No value available
1976-06-13,.,No value available
1976-06-14,.,No value available
1976-06-15,0.4361,
1976-06-16,.,No value available
1976-06-17,.,No value available
1976-06-18,.,No value available
1976-06-19,.,No value available
1976-06-20,.,No value available
1976-06-21,.,No value available
1976-06-22,.,No value available
1976-06-23,.,No value available
1976-06-24,.,No value available
1976-06-25,.,No value available
1976-06-26,.,No value available
1976-06-27,.,No value available
1976-06-28,.,No value available
1976-06-29,.,No value available
1976-06-30,0.4373,
1976-07-01,.,No value available
1976-07-02,.,No value available
1976-07-03,.,No value available
1976-07-04,.,No value available
1976-07-05,.,No value available
1976-07-06,.,No value available
1976-07-07,.,No value available
1976-07-08,.,No value available
1976-07-09,.,No value available
1976-07-10,.,No value available
1976-07-11,.,No value available
1976-07-12,.,No value available
1976-07-13,.,No value available
1976-07-14,.,No value available
1976-07-15,0.4379,
1976-07-16,.,No value available
1976-07-17,.,No value available
1976-07-18,.,No value available
1976-07-19,.,No value available
1976-07-20,.,No value available
1976-07-21,.,No value available
1976-07-22,.,No value available
1976-07-23,.,No value available
1976-07-24,.,No value available
1976-07-25,.,No value available
1976-07-26,.,No value available
1976-07-27,.,No value available
1976-07-28,.,No value available
1976-07-29,.,No value available
1976-07-30,0.4380,
1976-07-31,.,No value available
1976-08-01,.,No value available
1976-08-02,.,No value available
1976-08-03,.,No value available
1976-08-04,.,No value available
1976-08-05,.,No value available
1976-08-06,.,No value available
1976-08-07,.,No value available
1976-08-08,.,No value available
1976-08-09,.,No value available
1976-08-10,.,No value available
1976-08-11,.,No value available
1976-08-12,.,No value available
1976-08-13,.,No value available
1976-08-14,.,No value available
1976-08-15,.,No value available
1976-08-16,0.4356,
1976-08-17,.,No value available
1976-08-18,.,No value available
1976-08-19,.,No value available
1976-08-20,.,No value available
1976-08-21,.,No value available
1976-08-22,.,No value available
1976-08-23,.,No value available
1976-08-24,.,No value available
1976-08-25,.,No value available
1976-08-26,.,No value available
1976-08-27,.,No value available
1976-08-28,.,No value available
1976-08-29,.,No value available
1976-08-30,.,No value available
1976-08-31,0.4337,
1976-09-01,.,No value available
1976-09-02,.,No value available
1976-09-03,.,No value available
1976-09-04,.,No value available
1976-09-05,.,No value available
1976-09-06,.,No value available
1976-09-07,.,No value available
1976-09-08,.,No value available
1976-09-09,.,No value available
1976-09-10,.,No value available
1976-09-11,.,No value available
1976-09-12,.,No value available
1976-09-13,.,No value available
1976-09-14,.,No value available
1976-09-15,0.4313,
1976-09-16,.,No value available
1976-09-17,.,No value available
1976-09-18,.,No value available
1976-09-19,.,No value available
1976-09-20,.,No value available
1976-09-21,.,No value available
1976-09-22,.,No value available
1976-09-23,.,No value available
1976-09-24,.,No value available
1976-09-25,.,No value available
1976-09-26,.,No value available
1976-09-27,.,No value available
1976-09-28,.,No value available
1976-09-29,.,No value available
1976-09-30,0.4247,
1976-10-01,.,No value available
1976-10-02,.,No value available
1976-10-03,.,No value available
1976-10-04,.,No value available
1976-10-05,.,No value available
1976-10-06,.,No value available
1976-10-07,.,No value available
1976-10-08,.,No value available
1976-10-09,.,No value available
1976-10-10,.,No value available
1976-10-11,.,No value available
1976-10-12,.,No value available
1976-10-13,.,No value available
1976-10-14,0.4281,
1976-10-15,.,No value available
1976-10-16,.,No value available
1976-10-17,.,No value available
1976-10-18,.,No value available
1976-10-19,.,No value available
1976-10-20,.,No value available
1976-10-21,.,No value available
1976-10-22,.,No value available
1976-10-23,.,No value available
1976-10-24,.,No value available
1976-10-25,.,No value available
1976-10-26,.,No value available
1976-10-27,.,No value available
1976-10-28,.,No value available
1976-10-29,0.4235,
1976-10-30,.,No value available
1976-10-31,.,No value available
1976-11-01,.,No value available
1976-11-02,.,No value available
1976-11-03,.,No value available
1976-11-04,.,No value available
1976-11-05,.,No value available
1976-11-06,.,No value available
1976-11-07,.,No value available
1976-11-08,.,No value available
1976-11-09,.,No value available
1976-11-10,.,No value available
1976-11-11,.,No value available
1976-11-12,.,No value available
1976-11-13,.,No value available
1976-11-14,.,No value available
1976-11-15,0.4300,
1976-11-16,.,No value available
1976-11-17,.,No value available
1976-11-18,.,No value available
1976-11-19,.,No value available
1976-11-20,.,No value available
1976-11-21,.,No value available
1976-11-22,.,No value available
1976-11-23,.,No value available
1976-11-24,.,No value available
1976-11-25,.,No value available
1976-11-26,.,No value available
1976-11-27,.,No value available
1976-11-28,.,No value available
1976-11-29,.,No value available
1976-11-30,0.4311,
1976-12-01,.,No value available
1976-12-02,.,No value available
1976-12-03,.,No value available
1976-12-04,.,No value available
1976-12-05,.,No value available
1976-12-06,.,No value available
1976-12-07,.,No value available
1976-12-08,.,No value available
1976-12-09,.,No value available
1976-12-10,.,No value available
1976-12-11,.,No value available
1976-12-12,.,No value available
1976-12-13,.,No value available
1976-12-14,.,No value available
1976-12-15,0.4338,
1976-12-16,.,No value available
1976-12-17,.,No value available
1976-12-18,.,No value available
1976-12-19,.,No value available
1976-12-20,.,No value available
1976-12-21,.,No value available
1976-12-22,.,No value available
1976-12-23,.,No value available
1976-12-24,.,No value available
1976-12-25,.,No value available
1976-12-26,.,No value available
1976-12-27,.,No value available
1976-12-28,.,No value available
1976-12-29,.,No value available
1976-12-30,.,No value available
1976-12-31,0.4331,
1977-01-01,.,No value available
1977-01-02,.,No value available
1977-01-03,.,No value available
1977-01-04,.,No value available
1977-01-05,.,No value available
1977-01-06,.,No value available
1977-01-07,.,No value available
1977-01-08,.,No value available
1977-01-09,.,No value available
1977-01-10,.,No value available
1977-01-11,.,No value available
1977-01-12,.,No value available
1977-01-13,.,No value available
1977-01-14,0.4340,
1977-01-15,.,No value available
1977-01-16,.,No value available
1977-01-17,.,No value available
1977-01-18,.,No value available
1977-01-19,.,No value available
1977-01-20,.,No value available
1977-01-21,.,No value available
1977-01-22,.,No value available
1977-01-23,.,No value available
1977-01-24,.,No value available
1977-01-25,.,No value available
1977-01-26,.,No value available
1977-01-27,.,No value available
1977-01-28,.,No value available
1977-01-29,.,No value available
1977-01-30,.,No value available
1977-01-31,0.4376,
1977-02-01,.,No value available
1977-02-02,.,No value available
1977-02-03,.,No value available
1977-02-04,.,No value available
1977-02-05,.,No value available
1977-02-06,.,No value available
1977-02-07,.,No value available
1977-02-08,.,No value available
1977-02-09,.,No value available
1977-02-10,.,No value available
1977-02-11,.,No value available
1977-02-12,.,No value available
1977-02-13,.,No value available
1977-02-14,.,No value available
1977-02-15,0.4373,
1977-02-16,.,No value available
1977-02-17,.,No value available
1977-02-18,.,No value available
1977-02-19,.,No value available
1977-02-20,.,No value available
1977-02-21,.,No value available
1977-02-22,.,No value available
1977-02-23,.,No value available
1977-02-24,.,No value available
1977-02-25,.,No value available
1977-02-26,.,No value available
1977-02-27,.,No value available
1977-02-28,0.4396,
1977-03-01,.,No value available
1977-03-02,.,No value available
1977-03-03,.,No value available
1977-03-04,.,No value available
1977-03-05,.,No value available
1977-03-06,.,No value available
1977-03-07,.,No value available
1977-03-08,.,No value available
1977-03-09,.,No value available
1977-03-10,.,No value available
1977-03-11,.,No value available
1977-03-12,.,No value available
1977-03-13,.,No value available
1977-03-14,.,No value available
1977-03-15,0.4400,
1977-03-16,.,No value available
1977-03-17,.,No value available
1977-03-18,.,No value available
1977-03-19,.,No value available
1977-03-20,.,No value available
1977-03-21,.,No value available
1977-03-22,.,No value available
1977-03-23,.,No value available
1977-03-24,.,No value available
1977-03-25,.,No value available
1977-03-26,.,No value available
1977-03-27,.,No value available
1977-03-28,.,No value available
1977-03-29,.,No value available
1977-03-30,.,No value available
1977-03-31,0.4392,
1977-04-01,.,No value available
1977-04-02,.,No value available
1977-04-03,.,No value available
1977-04-04,.,No value available
1977-04-05,.,No value available
1977-04-06,.,No value available
1977-04-07,.,No value available
1977-04-08,.,No value available
1977-04-09,.,No value available
1977-04-10,.,No value available
1977-04-11,.,No value available
1977-04-12,.,No value available
1977-04-13,.,No value available
1977-04-14,.,No value available
1977-04-15,0.4360,
1977-04-16,.,No value available
1977-04-17,.,No value available
1977-04-18,.,No value available
1977-04-19,.,No value available
1977-04-20,.,No value available
1977-04-21,.,No value available
1977-04-22,.,No value available
1977-04-23,.,No value available
1977-04-24,.,No value available
1977-04-25,.,No value available
1977-04-26,.,No value available
1977-04-27,.,No value available
1977-04-28,.,No value available
1977-04-29,0.4341,
1977-04-30,.,No value available
1977-05-01,.,No value available
1977-05-02,.,No value available
1977-05-03,.,No value available
1977-05-04,.,No value available
1977-05-05,.,No value available
1977-05-06,.,No value available
1977-05-07,.,No value available
1977-05-08,.,No value available
1977-05-09,.,No value available
1977-05-10,.,No value available
1977-05-11,.,No value available
1977-05-12,.,No value available
1977-05-13,.,No value available
1977-05-14,.,No value available
1977-05-15,.,No value available
1977-05-16,0.4340,
1977-05-17,.,No value available
1977-05-18,.,No value available
1977-05-19,.,No value available
1977-05-20,.,No value available
1977-05-21,.,No value available
1977-05-22,.,No value available
1977-05-23,.,No value available
1977-05-24,.,No value available
1977-05-25,.,No value available
1977-05-26,.,No value available
1977-05-27,.,No value available
1977-05-28,.,No value available
1977-05-29,.,No value available
1977-05-30,.,No value available
1977-05-31,0.4325,
1977-06-01,.,No value available
1977-06-02,.,No value available
1977-06-03,.,No value available
1977-06-04,.,No value available
1977-06-05,.,No value available
1977-06-06,.,No value available
1977-06-07,.,No value available
1977-06-08,.,No value available
1977-06-09,.,No value available
1977-06-10,.,No value available
1977-06-11,.,No value available
1977-06-12,.,No value available
1977-06-13,.,No value available
1977-06-14,.,No value available
1977-06-15,0.4319,
1977-06-16,.,No value available
1977-06-17,.,No value available
1977-06-18,.,No value available
1977-06-19,.,No value available
1977-06-20,.,No value available
1977-06-21,.,No value available
1977-06-22,.,No value available
1977-06-23,.,No value available
1977-06-24,.,No value available
1977-06-25,.,No value available
1977-06-26,.,No value available
1977-06-27,.,No value available
1977-06-28,.,No value available
1977-06-29,.,No value available
1977-06-30,0.4291,
1977-07-01,.,No value available
1977-07-02,.,No value available
1977-07-03,.,No value available
1977-07-04,.,No value available
1977-07-05,.,No value available
1977-07-06,.,No value available
1977-07-07,.,No value available
1977-07-08,.,No value available
1977-07-09,.,No value available
1977-07-10,.,No value available
1977-07-11,.,No value available
1977-07-12,.,No value available
1977-07-13,.,No value available
1977-07-14,.,No value available
1977-07-15,0.4228,
1977-07-16,.,No value available
1977-07-17,.,No value available
1977-07-18,.,No value available
1977-07-19,.,No value available
1977-07-20,.,No value available
1977-07-21,.,No value available
1977-07-22,.,No value available
1977-07-23,.,No value available
1977-07-24,.,No value available
1977-07-25,.,No value available
1977-07-26,.,No value available
1977-07-27,.,No value available
1977-07-28,.,No value available
1977-07-29,0.4250,
1977-07-30,.,No value available
1977-07-31,.,No value available
1977-08-01,.,No value available
1977-08-02,.,No value available
1977-08-03,.,No value available
1977-08-04,.,No value available
1977-08-05,.,No value available
1977-08-06,.,No value available
1977-08-07,.,No value available
1977-08-08,.,No value available
1977-08-09,.,No value available
1977-08-10,.,No value available
1977-08-11,.,No value available
1977-08-12,.,No value available
1977-08-13,.,No value available
1977-08-14,.,No value available
1977-08-15,0.4361,
1977-08-16,.,No value available
1977-08-17,.,No value available
1977-08-18,.,No value available
1977-08-19,.,No value available
1977-08-20,.,No value available
1977-08-21,.,No value available
1977-08-22,.,No value available
1977-08-23,.,No value available
1977-08-24,.,No value available
1977-08-25,.,No value available
1977-08-26,.,No value available
1977-08-27,.,No value available
1977-08-28,.,No value available
1977-08-29,.,No value available
1977-08-30,.,No value available
1977-08-31,0.4361,
1977-09-01,.,No value available
1977-09-02,.,No value available
1977-09-03,.,No value available
1977-09-04,.,No value available
1977-09-05,.,No value available
1977-09-06,.,No value available
1977-09-07,.,No value available
1977-09-08,.,No value available
1977-09-09,.,No value available
1977-09-10,.,No value available
1977-09-11,.,No value available
1977-09-12,.,No value available
1977-09-13,.,No value available
1977-09-14,.,No value available
1977-09-15,0.4369,
1977-09-16,.,No value available
1977-09-17,.,No value available
1977-09-18,.,No value available
1977-09-19,.,No value available
1977-09-20,.,No value available
1977-09-21,.,No value available
1977-09-22,.,No value available
1977-09-23,.,No value available
1977-09-24,.,No value available
1977-09-25,.,No value available
1977-09-26,.,No value available
1977-09-27,.,No value available
1977-09-28,.,No value available
1977-09-29,.,No value available
1977-09-30,0.4360,
1977-10-01,.,No value available
1977-10-02,.,No value available
1977-10-03,.,No value available
1977-10-04,.,No value available
1977-10-05,.,No value available
1977-10-06,.,No value available
1977-10-07,.,No value available
1977-10-08,.,No value available
1977-10-09,.,No value available
1977-10-10,.,No value available
1977-10-11,.,No value available
1977-10-12,.,No value available
1977-10-13,.,No value available
1977-10-14,0.4336,
1977-10-15,.,No value available
1977-10-16,.,No value available
1977-10-17,.,No value available
1977-10-18,.,No value available
1977-10-19,.,No value available
1977-10-20,.,No value available
1977-10-21,.,No value available
1977-10-22,.,No value available
1977-10-23,.,No value available
1977-10-24,.,No value available
1977-10-25,.,No value available
1977-10-26,.,No value available
1977-10-27,.,No value available
1977-10-28,.,No value available
1977-10-29,.,No value available
1977-10-30,.,No value available
1977-10-31,0.4329,
1977-11-01,.,No value available
1977-11-02,.,No value available
1977-11-03,.,No value available
1977-11-04,.,No value available
1977-11-05,.,No value available
1977-11-06,.,No value available
1977-11-07,.,No value available
1977-11-08,.,No value available
1977-11-09,.,No value available
1977-11-10,.,No value available
1977-11-11,.,No value available
1977-11-12,.,No value available
1977-11-13,.,No value available
1977-11-14,.,No value available
1977-11-15,0.4316,
1977-11-16,.,No value available
1977-11-17,.,No value available
1977-11-18,.,No value available
1977-11-19,.,No value available
1977-11-20,.,No value available
1977-11-21,.,No value available
1977-11-22,.,No value available
1977-11-23,.,No value available
1977-11-24,.,No value available
1977-11-25,.,No value available
1977-11-26,.,No value available
1977-11-27,.,No value available
1977-11-28,.,No value available
1977-11-29,.,No value available
1977-11-30,0.4288,
1977-12-01,.,No value available
1977-12-02,.,No value available
1977-12-03,.,No value available
1977-12-04,.,No value available
1977-12-05,.,No value available
1977-12-06,.,No value available
1977-12-07,.,No value available
1977-12-08,.,No value available
1977-12-09,.,No value available
1977-12-10,.,No value available
1977-12-11,.,No value available
1977-12-12,.,No value available
1977-12-13,.,No value available
1977-12-14,.,No value available
1977-12-15,0.4168,
1977-12-16,.,No value available
1977-12-17,.,No value available
1977-12-18,.,No value available
1977-12-19,.,No value available
1977-12-20,.,No value available
1977-12-21,.,No value available
1977-12-22,.,No value available
1977-12-23,.,No value available
1977-12-24,.,No value available
1977-12-25,.,No value available
1977-12-26,.,No value available
1977-12-27,.,No value available
1977-12-28,.,No value available
1977-12-29,.,No value available
1977-12-30,0.4141,
1977-12-31,.,No value available
1978-01-01,.,No value available
1978-01-02,.,No value available
1978-01-03,.,No value available
1978-01-04,.,No value available
1978-01-05,.,No value available
1978-01-06,.,No value available
1978-01-07,.,No value available
1978-01-08,.,No value available
1978-01-09,.,No value available
1978-01-10,.,No value available
1978-01-11,.,No value available
1978-01-12,.,No value available
1978-01-13,.,No value available
1978-01-14,.,No value available
1978-01-15,.,No value available
1978-01-16,0.4197,
1978-01-17,.,No value available
1978-01-18,.,No value available
1978-01-19,.,No value available
1978-01-20,.,No value available
1978-01-21,.,No value available
1978-01-22,.,No value available
1978-01-23,.,No value available
1978-01-24,.,No value available
1978-01-25,.,No value available
1978-01-26,.,No value available
1978-01-27,.,No value available
1978-01-28,.,No value available
1978-01-29,.,No value available
1978-01-30,.,No value available
1978-01-31,0.4205,
1978-02-01,.,No value available
1978-02-02,.,No value available
1978-02-03,.,No value available
1978-02-04,.,No value available
1978-02-05,.,No value available
1978-02-06,.,No value available
1978-02-07,.,No value available
1978-02-08,.,No value available
1978-02-09,.,No value available
1978-02-10,.,No value available
1978-02-11,.,No value available
1978-02-12,.,No value available
1978-02-13,.,No value available
1978-02-14,.,No value available
1978-02-15,0.4193,
1978-02-16,.,No value available
1978-02-17,.,No value available
1978-02-18,.,No value available
1978-02-19,.,No value available
1978-02-20,.,No value available
1978-02-21,.,No value available
1978-02-22,.,No value available
1978-02-23,.,No value available
1978-02-24,.,No value available
1978-02-25,.,No value available
1978-02-26,.,No value available
1978-02-27,.,No value available
1978-02-28,0.4174,
1978-03-01,.,No value available
1978-03-02,.,No value available
1978-03-03,.,No value available
1978-03-04,.,No value available
1978-03-05,.,No value available
1978-03-06,.,No value available
1978-03-07,.,No value available
1978-03-08,.,No value available
1978-03-09,.,No value available
1978-03-10,.,No value available
1978-03-11,.,No value available
1978-03-12,.,No value available
1978-03-13,.,No value available
1978-03-14,.,No value available
1978-03-15,0.4222,
1978-03-16,.,No value available
1978-03-17,.,No value available
1978-03-18,.,No value available
1978-03-19,.,No value available
1978-03-20,.,No value available
1978-03-21,.,No value available
1978-03-22,.,No value available
1978-03-23,.,No value available
1978-03-24,.,No value available
1978-03-25,.,No value available
1978-03-26,.,No value available
1978-03-27,.,No value available
1978-03-28,.,No value available
1978-03-29,.,No value available
1978-03-30,.,No value available
1978-03-31,0.4183,
1978-04-01,.,No value available
1978-04-02,.,No value available
1978-04-03,.,No value available
1978-04-04,.,No value available
1978-04-05,.,No value available
1978-04-06,.,No value available
1978-04-07,.,No value available
1978-04-08,.,No value available
1978-04-09,.,No value available
1978-04-10,.,No value available
1978-04-11,.,No value available
1978-04-12,.,No value available
1978-04-13,.,No value available
1978-04-14,0.4184,
1978-04-15,.,No value available
1978-04-16,.,No value available
1978-04-17,.,No value available
1978-04-18,.,No value available
1978-04-19,.,No value available
1978-04-20,.,No value available
1978-04-21,.,No value available
1978-04-22,.,No value available
1978-04-23,.,No value available
1978-04-24,.,No value available
1978-04-25,.,No value available
1978-04-26,.,No value available
1978-04-27,.,No value available
1978-04-28,0.4255,
1978-04-29,.,No value available
1978-04-30,.,No value available
1978-05-01,.,No value available
1978-05-02,.,No value available
1978-05-03,.,No value available
1978-05-04,.,No value available
1978-05-05,.,No value available
1978-05-06,.,No value available
1978-05-07,.,No value available
1978-05-08,.,No value available
1978-05-09,.,No value available
1978-05-10,.,No value available
1978-05-11,.,No value available
1978-05-12,.,No value available
1978-05-13,.,No value available
1978-05-14,.,No value available
1978-05-15,0.4281,
1978-05-16,.,No value available
1978-05-17,.,No value available
1978-05-18,.,No value available
1978-05-19,.,No value available
1978-05-20,.,No value available
1978-05-21,.,No value available
1978-05-22,.,No value available
1978-05-23,.,No value available
1978-05-24,.,No value available
1978-05-25,.,No value available
1978-05-26,.,No value available
1978-05-27,.,No value available
1978-05-28,.,No value available
1978-05-29,.,No value available
1978-05-30,.,No value available
1978-05-31,0.4270,
1978-06-01,.,No value available
1978-06-02,.,No value available
1978-06-03,.,No value available
1978-06-04,.,No value available
1978-06-05,.,No value available
1978-06-06,.,No value available
1978-06-07,.,No value available
1978-06-08,.,No value available
1978-06-09,.,No value available
1978-06-10,.,No value available
1978-06-11,.,No value available
1978-06-12,.,No value available
1978-06-13,.,No value available
1978-06-14,.,No value available
1978-06-15,0.4253,
1978-06-16,.,No value available
1978-06-17,.,No value available
1978-06-18,.,No value available
1978-06-19,.,No value available
1978-06-20,.,No value available
1978-06-21,.,No value available
1978-06-22,.,No value available
1978-06-23,.,No value available
1978-06-24,.,No value available
1978-06-25,.,No value available
1978-06-26,.,No value available
1978-06-27,.,No value available
1978-06-28,.,No value available
1978-06-29,.,No value available
1978-06-30,0.4233,
1978-07-01,.,No value available
1978-07-02,.,No value available
1978-07-03,.,No value available
1978-07-04,.,No value available
1978-07-05,.,No value available
1978-07-06,.,No value available
1978-07-07,.,No value available
1978-07-08,.,No value available
1978-07-09,.,No value available
1978-07-10,.,No value available
1978-07-11,.,No value available
1978-07-12,.,No value available
1978-07-13,.,No value available
1978-07-14,.,No value available
1978-07-15,.,No value available
1978-07-16,.,No value available
1978-07-17,0.4210,
1978-07-18,.,No value available
1978-07-19,.,No value available
1978-07-20,.,No value available
1978-07-21,.,No value available
1978-07-22,.,No value available
1978-07-23,.,No value available
1978-07-24,.,No value available
1978-07-25,.,No value available
1978-07-26,.,No value available
1978-07-27,.,No value available
1978-07-28,.,No value available
1978-07-29,.,No value available
1978-07-30,.,No value available
1978-07-31,0.4185,
1978-08-01,.,No value available
1978-08-02,.,No value available
1978-08-03,.,No value available
1978-08-04,.,No value available
1978-08-05,.,No value available
1978-08-06,.,No value available
1978-08-07,.,No value available
1978-08-08,.,No value available
1978-08-09,.,No value available
1978-08-10,.,No value available
1978-08-11,.,No value available
1978-08-12,.,No value available
1978-08-13,.,No value available
1978-08-14,.,No value available
1978-08-15,0.4143,
1978-08-16,.,No value available
1978-08-17,.,No value available
1978-08-18,.,No value available
1978-08-19,.,No value available
1978-08-20,.,No value available
1978-08-21,.,No value available
1978-08-22,.,No value available
1978-08-23,.,No value available
1978-08-24,.,No value available
1978-08-25,.,No value available
1978-08-26,.,No value available
1978-08-27,.,No value available
1978-08-28,.,No value available
1978-08-29,.,No value available
1978-08-30,.,No value available
1978-08-31,0.4156,
1978-09-01,.,No value available
1978-09-02,.,No value available
1978-09-03,.,No value available
1978-09-04,.,No value available
1978-09-05,.,No value available
1978-09-06,.,No value available
1978-09-07,.,No value available
1978-09-08,.,No value available
1978-09-09,.,No value available
1978-09-10,.,No value available
1978-09-11,.,No value available
1978-09-12,.,No value available
1978-09-13,.,No value available
1978-09-14,.,No value available
1978-09-15,0.4152,
1978-09-16,.,No value available
1978-09-17,.,No value available
1978-09-18,.,No value available
1978-09-19,.,No value available
1978-09-20,.,No value available
1978-09-21,.,No value available
1978-09-22,.,No value available
1978-09-23,.,No value available
1978-09-24,.,No value available
1978-09-25,.,No value available
1978-09-26,.,No value available
1978-09-27,.,No value available
1978-09-28,.,No value available
1978-09-29,0.4146,
1978-09-30,.,No value available
1978-10-01,.,No value available
1978-10-02,.,No value available
1978-10-03,.,No value available
1978-10-04,.,No value available
1978-10-05,.,No value available
1978-10-06,.,No value available
1978-10-07,.,No value available
1978-10-08,.,No value available
1978-10-09,.,No value available
1978-10-10,.,No value available
1978-10-11,.,No value available
1978-10-12,.,No value available
1978-10-13,0.4095,
1978-10-14,.,No value available
1978-10-15,.,No value available
1978-10-16,.,No value available
1978-10-17,.,No value available
1978-10-18,.,No value available
1978-10-19,.,No value available
1978-10-20,.,No value available
1978-10-21,.,No value available
1978-10-22,.,No value available
1978-10-23,.,No value available
1978-10-24,.,No value available
1978-10-25,.,No value available
1978-10-26,.,No value available
1978-10-27,.,No value available
1978-10-28,.,No value available
1978-10-29,.,No value available
1978-10-30,.,No value available
1978-10-31,0.3970,
1978-11-01,.,No value available
1978-11-02,.,No value available
1978-11-03,.,No value available
1978-11-04,.,No value available
1978-11-05,.,No value available
1978-11-06,.,No value available
1978-11-07,.,No value available
1978-11-08,.,No value available
1978-11-09,.,No value available
1978-11-10,.,No value available
1978-11-11,.,No value available
1978-11-12,.,No value available
1978-11-13,.,No value available
1978-11-14,.,No value available
1978-11-15,0.4120,
1978-11-16,.,No value available
1978-11-17,.,No value available
1978-11-18,.,No value available
1978-11-19,.,No value available
1978-11-20,.,No value available
1978-11-21,.,No value available
1978-11-22,.,No value available
1978-11-23,.,No value available
1978-11-24,.,No value available
1978-11-25,.,No value available
1978-11-26,.,No value available
1978-11-27,.,No value available
1978-11-28,.,No value available
1978-11-29,.,No value available
1978-11-30,0.4163,
1978-12-01,.,No value available
1978-12-02,.,No value available
1978-12-03,.,No value available
1978-12-04,.,No value available
1978-12-05,.,No value available
1978-12-06,.,No value available
1978-12-07,.,No value available
1978-12-08,.,No value available
1978-12-09,.,No value available
1978-12-10,.,No value available
1978-12-11,.,No value available
1978-12-12,.,No value available
1978-12-13,.,No value available
1978-12-14,.,No value available
1978-12-15,0.4141,
1978-12-16,.,No value available
1978-12-17,.,No value available
1978-12-18,.,No value available
1978-12-19,.,No value available
1978-12-20,.,No value available
1978-12-21,.,No value available
1978-12-22,.,No value available
1978-12-23,.,No value available
1978-12-24,.,No value available
1978-12-25,.,No value available
1978-12-26,.,No value available
1978-12-27,.,No value available
1978-12-28,.,No value available
1978-12-29,0.4054,
1978-12-30,.,No value available
1978-12-31,.,No value available
1979-01-01,.,No value available
1979-01-02,.,No value available
1979-01-03,.,No value available
1979-01-04,.,No value available
1979-01-05,.,No value available
1979-01-06,.,No value available
1979-01-07,.,No value available
1979-01-08,.,No value available
1979-01-09,.,No value available
1979-01-10,.,No value available
1979-01-11,.,No value available
1979-01-12,.,No value available
1979-01-13,.,No value available
1979-01-14,.,No value available
1979-01-15,0.4103,
1979-01-16,.,No value available
1979-01-17,.,No value available
1979-01-18,.,No value available
1979-01-19,.,No value available
1979-01-20,.,No value available
1979-01-21,.,No value available
1979-01-22,.,No value available
1979-01-23,.,No value available
1979-01-24,.,No value available
1979-01-25,.,No value available
1979-01-26,.,No value available
1979-01-27,.,No value available
1979-01-28,.,No value available
1979-01-29,.,No value available
1979-01-30,.,No value available
1979-01-31,0.4097,
1979-02-01,.,No value available
1979-02-02,.,No value available
1979-02-03,.,No value available
1979-02-04,.,No value available
1979-02-05,.,No value available
1979-02-06,.,No value available
1979-02-07,.,No value available
1979-02-08,.,No value available
1979-02-09,.,No value available
1979-02-10,.,No value available
1979-02-11,.,No value available
1979-02-12,.,No value available
1979-02-13,.,No value available
1979-02-14,.,No value available
1979-02-15,0.4099,
1979-02-16,.,No value available
1979-02-17,.,No value available
1979-02-18,.,No value available
1979-02-19,.,No value available
1979-02-20,.,No value available
1979-02-21,.,No value available
1979-02-22,.,No value available
1979-02-23,.,No value available
1979-02-24,.,No value available
1979-02-25,.,No value available
1979-02-26,.,No value available
1979-02-27,.,No value available
1979-02-28,0.4093,
1979-03-01,.,No value available
1979-03-02,.,No value available
1979-03-03,.,No value available
1979-03-04,.,No value available
1979-03-05,.,No value available
1979-03-06,.,No value available
