"",BBK01.OEGI01I,BBK01.OEGI01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:07,
2002-01,31.084,
2002-04,30.804,
2002-07,30.587,
2002-10,30.721,
2003-01,30.800,
2003-04,30.180,
2003-07,35.036,
2003-10,35.464,
2004-01,35.942,
2004-04,35.249,
2004-07,24.730,
2004-10,24.804,
2005-01,25.655,
2005-04,24.986,
2005-07,25.143,
2005-10,25.258,
2006-01,25.990,
2006-04,25.695,
2006-07,26.377,
2006-10,22.160,
2007-01,21.359,
2007-04,21.944,
2007-07,23.454,
2007-10,23.551,
2008-01,24.314,
2008-04,28.763,
2008-07,28.302,
2008-10,27.148,
2009-01,31.994,
2009-04,32.021,
2009-07,32.459,
2009-10,30.644,
2010-01,33.808,
2010-04,28.021,
2010-07,34.198,
2010-10,33.850,
2011-01,32.901,
2011-04,35.543,
2011-07,37.301,
2011-10,33.808,
2012-01,35.992,
2012-04,34.010,
2012-07,33.990,
2012-10,32.593,
2013-01,34.196,
2013-04,33.413,
2013-07,27.705,
2013-10,27.466,
2014-01,27.847,
2014-04,29.474,
2014-07,29.978,
