"",BBFB1.Q.N.DE.ES.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:54,
1991-01,62.826,
1991-04,63.427,
1991-07,60.404,
1991-10,66.649,
1992-01,42.258,
1992-04,52.005,
1992-07,74.946,
1992-10,69.499,
1993-01,73.044,
1993-04,78.208,
1993-07,36.047,
1993-10,35.371,
1994-01,48.677,
1994-04,47.864,
1994-07,48.939,
1994-10,53.522,
1995-01,70.456,
1995-04,86.121,
1995-07,81.281,
1995-10,80.848,
1996-01,101.078,
1996-04,113.219,
1996-07,108.828,
1996-10,134.280,
1997-01,131.429,
1997-04,146.016,
1997-07,137.566,
1997-10,140.668,
1998-01,157.541,
1998-04,180.766,
1998-07,190.451,
1998-10,200.638,
1999-01,375.517,
1999-04,385.778,
1999-07,324.463,
1999-10,401.161,
2000-01,329.805,
2000-04,505.483,
2000-07,529.106,
2000-10,707.227,
2001-01,293.522,
2001-04,365.520,
2001-07,302.664,
2001-10,313.911,
2002-01,329.820,
2002-04,303.922,
2002-07,275.532,
2002-10,255.925,
2003-01,574.227,
2003-04,762.978,
2003-07,690.748,
2003-10,660.164,
2004-01,-291.432,
2004-04,-282.564,
2004-07,-340.375,
2004-10,-348.018,
2005-01,277.847,
2005-04,364.588,
2005-07,349.765,
2005-10,371.195,
2006-01,377.868,
2006-04,435.495,
2006-07,363.427,
2006-10,369.446,
2007-01,584.450,
2007-04,701.179,
2007-07,604.828,
2007-10,599.270,
2008-01,770.631,
2008-04,506.516,
2008-07,266.997,
2008-10,337.701,
2009-01,253.848,
2009-04,357.001,
2009-07,186.166,
2009-10,165.814,
2010-01,147.166,
2010-04,196.773,
2010-07,123.467,
2010-10,119.953,
2011-01,-279.351,
2011-04,348.124,
2011-07,-53.512,
2011-10,-77.308,
2012-01,-128.888,
2012-04,-195.761,
2012-07,-398.669,
2012-10,-399.422,
2013-01,-281.271,
2013-04,-92.099,
2013-07,-252.103,
2013-10,-251.108,
2014-01,-244.642,Provisional value
2014-04,-116.443,Provisional value
2014-07,-165.109,Provisional value
