"",BBFN1.M.DE.N.1.L.U2.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations / Total /Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:42,
1995-01,13.175,
1995-02,13.095,
1995-03,14.437,
1995-04,13.865,
1995-05,13.989,
1995-06,13.257,
1995-07,13.202,
1995-08,12.996,
1995-09,13.748,
1995-10,13.689,
1995-11,13.886,
1995-12,13.536,
1996-01,13.420,
1996-02,15.008,
1996-03,15.380,
1996-04,15.005,
1996-05,15.042,
1996-06,16.089,
1996-07,14.345,
1996-08,15.136,
1996-09,16.078,
1996-10,16.197,
1996-11,16.785,
1996-12,17.552,
1997-01,15.878,
1997-02,16.867,
1997-03,17.958,
1997-04,17.480,
1997-05,17.512,
1997-06,16.966,
1997-07,17.625,
1997-08,17.029,
1997-09,18.246,
1997-10,18.353,
1997-11,18.735,
1997-12,22.508,
1998-01,21.657,
1998-02,21.043,
1998-03,21.402,
1998-04,21.363,
1998-05,22.745,
1998-06,22.760,
1998-07,23.096,
1998-08,23.697,
1998-09,23.793,
1998-10,24.524,
1998-11,24.289,
1998-12,23.391,
1999-01,23.933,
1999-02,25.169,
1999-03,25.694,
1999-04,27.709,
1999-05,28.838,
1999-06,30.377,
1999-07,30.014,
1999-08,30.639,
1999-09,30.453,
1999-10,31.045,
1999-11,33.302,
1999-12,40.382,
2000-01,38.158,
2000-02,37.000,
2000-03,39.330,
2000-04,39.867,
2000-05,40.249,
2000-06,49.300,
2000-07,48.997,
2000-08,62.454,
2000-09,73.578,
2000-10,76.846,
2000-11,76.401,
2000-12,77.219,
2001-01,74.941,
2001-02,77.327,
2001-03,79.810,
2001-04,80.807,
2001-05,80.233,
2001-06,86.888,
2001-07,86.933,
2001-08,87.388,
2001-09,90.878,
2001-10,89.031,
2001-11,88.580,
2001-12,92.687,
2002-01,85.449,
2002-02,90.302,
2002-03,92.221,
2002-04,90.863,
2002-05,88.968,
2002-06,90.753,
2002-07,88.863,
2002-08,88.271,
2002-09,91.095,
2002-10,91.078,
2002-11,90.243,
2002-12,87.471,
2003-01,87.168,
2003-02,89.045,
2003-03,88.516,
2003-04,88.336,
2003-05,93.375,
2003-06,95.489,
2003-07,96.507,
2003-08,94.978,
2003-09,93.577,
2003-10,94.073,
2003-11,97.646,
2003-12,98.527,
2004-01,101.044,
2004-02,96.269,
2004-03,103.304,
2004-04,100.131,
2004-05,99.346,
2004-06,99.112,
2004-07,102.625,
2004-08,101.228,
2004-09,96.965,
2004-10,94.480,
2004-11,96.453,
2004-12,92.923,
2005-01,91.891,
2005-02,91.057,
2005-03,93.692,
2005-04,93.028,
2005-05,93.407,
2005-06,95.668,
2005-07,93.681,
2005-08,93.849,
2005-09,94.955,
2005-10,97.968,
2005-11,97.912,
2005-12,106.223,
2006-01,102.473,
2006-02,107.467,
2006-03,104.819,
2006-04,102.375,
2006-05,112.175,
2006-06,111.163,
2006-07,109.796,
2006-08,111.907,
2006-09,119.440,
2006-10,118.937,
2006-11,120.939,
2006-12,125.084,
2007-01,127.512,
2007-02,129.453,
2007-03,129.809,
2007-04,130.648,
2007-05,130.147,
2007-06,133.157,
2007-07,134.150,
2007-08,130.688,
2007-09,126.945,
2007-10,126.652,
2007-11,123.181,
2007-12,115.920,
2008-01,116.550,
2008-02,115.381,
2008-03,118.477,
2008-04,119.825,
2008-05,115.883,
2008-06,117.795,
2008-07,116.795,
2008-08,115.791,
2008-09,116.965,
2008-10,111.704,
2008-11,114.020,
2008-12,119.089,
2009-01,115.499,
2009-02,118.544,
2009-03,119.188,
2009-04,119.319,
2009-05,119.903,
2009-06,121.199,
2009-07,118.829,
2009-08,116.581,
2009-09,120.559,
2009-10,122.733,
2009-11,120.024,
2009-12,126.302,
2010-01,122.954,
2010-02,123.225,
2010-03,121.822,
2010-04,121.043,
2010-05,123.776,
2010-06,122.990,
2010-07,121.528,
2010-08,127.416,
2010-09,132.726,
2010-10,128.280,
2010-11,133.419,
2010-12,130.953,
2011-01,133.176,
2011-02,130.125,
2011-03,128.010,
2011-04,129.595,
2011-05,132.535,
2011-06,141.296,
2011-07,145.501,
2011-08,146.845,
2011-09,152.955,
2011-10,139.435,
2011-11,146.942,
2011-12,145.582,
2012-01,151.780,
2012-02,151.518,
2012-03,152.927,
2012-04,148.645,
2012-05,146.754,
2012-06,152.774,
2012-07,152.269,
2012-08,150.121,
2012-09,152.402,
2012-10,153.471,
2012-11,159.181,
2012-12,160.968,
2013-01,160.329,
2013-02,152.747,
2013-03,159.636,
2013-04,161.067,
2013-05,164.718,
2013-06,164.934,
2013-07,166.804,
2013-08,164.843,
2013-09,163.089,
2013-10,157.427,
2013-11,157.165,
2013-12,158.239,
2014-01,157.265,
2014-02,162.028,
2014-03,159.331,
2014-04,157.127,
2014-05,161.682,
2014-06,171.590,
2014-07,162.643,
2014-08,165.316,
2014-09,156.178,
2014-10,152.015,
2014-11,156.557,
2014-12,137.963,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
