"",BBK01.OEAC26O,BBK01.OEAC26O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:24,
2002-01,0.369,
2002-04,0.316,
2002-07,0.283,
2002-10,0.282,
2003-01,0.279,
2003-04,0.266,
2003-07,0.239,
2003-10,0.250,
2004-01,0.246,
2004-04,0.304,
2004-07,0.303,
2004-10,0.283,
2005-01,0.293,
2005-04,0.266,
2005-07,0.231,
2005-10,0.190,
2006-01,0.181,
2006-04,0.163,
2006-07,0.166,
2006-10,0.147,
2007-01,0.167,
2007-04,0.138,
2007-07,0.151,
2007-10,0.151,
2008-01,0.153,
2008-04,0.151,
2008-07,0.147,
2008-10,0.134,
2009-01,0.153,
2009-04,0.154,
2009-07,0.148,
2009-10,0.116,
2010-01,0.120,
2010-04,0.100,
2010-07,0.101,
2010-10,0.102,
2011-01,0.102,
2011-04,0.110,
2011-07,0.115,
2011-10,0.118,
2012-01,0.125,
2012-04,0.131,
2012-07,0.136,
2012-10,0.131,
2013-01,0.139,
2013-04,0.134,
2013-07,0.123,
2013-10,0.167,
2014-01,0.125,
2014-04,0.126,
2014-07,0.126,
