"",BBK01.OEBL05N,BBK01.OEBL05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:28,
2002-01,1.991,
2002-04,2.108,
2002-07,2.326,
2002-10,2.535,
2003-01,2.725,
2003-04,2.791,
2003-07,2.738,
2003-10,2.730,
2004-01,2.720,
2004-04,2.743,
2004-07,2.880,
2004-10,1.470,
2005-01,1.823,
2005-04,1.683,
2005-07,1.676,
2005-10,1.184,
2006-01,1.162,
2006-04,1.152,
2006-07,1.175,
2006-10,1.186,
2007-01,1.196,
2007-04,1.190,
2007-07,1.189,
2007-10,1.256,
2008-01,1.248,
2008-04,1.247,
2008-07,1.186,
2008-10,1.281,
2009-01,1.581,
2009-04,1.894,
2009-07,2.052,
2009-10,2.065,
2010-01,2.167,
2010-04,2.227,
2010-07,2.366,
2010-10,2.410,
2011-01,2.454,
2011-04,2.431,
2011-07,2.546,
2011-10,2.548,
2012-01,2.603,
2012-04,2.573,
2012-07,2.652,
2012-10,2.752,
2013-01,2.761,
2013-04,2.889,
2013-07,2.930,
2013-10,3.144,
2014-01,3.225,
2014-04,3.431,
2014-07,3.479,
