"",BBK01.OELJ05N,BBK01.OELJ05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:46,
2002-01,2.585,
2002-04,2.607,
2002-07,2.725,
2002-10,2.717,
2003-01,2.707,
2003-04,2.743,
2003-07,2.701,
2003-10,2.654,
2004-01,2.759,
2004-04,2.912,
2004-07,2.921,
2004-10,3.023,
2005-01,3.039,
2005-04,3.154,
2005-07,3.156,
2005-10,3.078,
2006-01,3.167,
2006-04,3.149,
2006-07,3.177,
2006-10,3.472,
2007-01,3.254,
2007-04,3.270,
2007-07,3.288,
2007-10,3.370,
2008-01,3.336,
2008-04,3.444,
2008-07,5.659,
2008-10,5.755,
2009-01,6.220,
2009-04,6.292,
2009-07,6.526,
2009-10,6.715,
2010-01,6.762,
2010-04,6.735,
2010-07,6.640,
2010-10,6.622,
2011-01,6.581,
2011-04,6.508,
2011-07,6.434,
2011-10,6.359,
2012-01,6.261,
2012-04,6.233,
2012-07,6.132,
2012-10,5.939,
2013-01,5.823,
2013-04,5.701,
2013-07,5.680,
2013-10,5.548,
2014-01,3.532,
2014-04,3.454,
2014-07,3.407,
