"",BBK01.OECM03R,BBK01.OECM03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:38,
2002-01,0.097,
2002-04,0.084,
2002-07,0.078,
2002-10,0.112,
2003-01,0.047,
2003-04,0.020,
2003-07,0.040,
2003-10,0.034,
2004-01,0.012,
2004-04,0.030,
2004-07,0.018,
2004-10,0.014,
2005-01,0.041,
2005-04,0.009,
2005-07,0.005,
2005-10,0.004,
2006-01,0.005,
2006-04,0.009,
2006-07,0.015,
2006-10,0.018,
2007-01,0.015,
2007-04,0.016,
2007-07,0.009,
2007-10,0.026,
2008-01,0.011,
2008-04,0.013,
2008-07,0.018,
2008-10,0.025,
2009-01,0.005,
2009-04,0.003,
2009-07,0.003,
2009-10,0.003,
2010-01,0.003,
2010-04,0.003,
2010-07,0.003,
2010-10,0.003,
2011-01,0.003,
2011-04,0.009,
2011-07,0.008,
2011-10,0.001,
2012-01,0.001,
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
