"",BBK01.OEAH50I,BBK01.OEAH50I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:38,
2002-01,0.036,
2002-04,0.037,
2002-07,0.039,
2002-10,0.039,
2003-01,0.037,
2003-04,0.034,
2003-07,0.036,
2003-10,0.038,
2004-01,0.045,
2004-04,0.040,
2004-07,0.038,
2004-10,0.038,
2005-01,0.038,
2005-04,0.037,
2005-07,0.035,
2005-10,0.034,
2006-01,0.034,
2006-04,0.033,
2006-07,0.035,
2006-10,0.034,
2007-01,0.033,
2007-04,0.034,
2007-07,0.036,
2007-10,0.045,
2008-01,0.053,
2008-04,0.059,
2008-07,0.068,
2008-10,0.086,
2009-01,0.091,
2009-04,0.080,
2009-07,0.064,
2009-10,0.054,
2010-01,0.052,
2010-04,0.061,
2010-07,0.064,
2010-10,0.070,
2011-01,0.067,
2011-04,0.080,
2011-07,0.084,
2011-10,0.080,
2012-01,0.078,
2012-04,0.079,
2012-07,0.077,
2012-10,0.066,
2013-01,0.059,
2013-04,0.046,
2013-07,0.044,
2013-10,0.044,
2014-01,0.039,
2014-04,0.018,
2014-07,0.017,
