"",BBK01.OECB21S,BBK01.OECB21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:57,
2002-01,0.468,
2002-04,0.462,
2002-07,0.463,
2002-10,0.499,
2003-01,0.451,
2003-04,0.472,
2003-07,0.473,
2003-10,0.485,
2004-01,0.468,
2004-04,0.454,
2004-07,0.467,
2004-10,0.460,
2005-01,0.601,
2005-04,0.634,
2005-07,0.641,
2005-10,0.597,
2006-01,0.617,
2006-04,0.570,
2006-07,0.585,
2006-10,0.558,
2007-01,0.527,
2007-04,0.497,
2007-07,0.489,
2007-10,0.479,
2008-01,0.497,
2008-04,0.556,
2008-07,0.514,
2008-10,0.442,
2009-01,0.406,
2009-04,0.352,
2009-07,0.324,
2009-10,0.197,
2010-01,0.195,
2010-04,0.196,
2010-07,0.193,
2010-10,0.209,
2011-01,0.169,
2011-04,0.161,
2011-07,0.157,
2011-10,0.145,
2012-01,0.144,
2012-04,0.137,
2012-07,0.133,
2012-10,0.123,
2013-01,0.119,
2013-04,0.113,
2013-07,0.108,
2013-10,0.099,
2014-01,0.098,
2014-04,0.093,
2014-07,0.081,
