"",BBK01.OEYL02H,BBK01.OEYL02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:00,
2002-01,0.471,
2002-04,0.426,
2002-07,0.421,
2002-10,0.429,
2003-01,0.411,
2003-04,0.464,
2003-07,0.456,
2003-10,0.411,
2004-01,0.433,
2004-04,0.538,
2004-07,0.445,
2004-10,0.439,
2005-01,0.495,
2005-04,0.456,
2005-07,0.440,
2005-10,0.437,
2006-01,0.477,
2006-04,0.526,
2006-07,0.487,
2006-10,0.431,
2007-01,0.519,
2007-04,0.549,
2007-07,0.473,
2007-10,0.486,
2008-01,0.497,
2008-04,0.368,
2008-07,0.339,
2008-10,0.180,
2009-01,0.161,
2009-04,0.171,
2009-07,0.200,
2009-10,0.228,
2010-01,0.233,
2010-04,0.241,
2010-07,0.226,
2010-10,0.214,
2011-01,0.227,
2011-04,0.212,
2011-07,0.210,
2011-10,0.209,
2012-01,0.261,
2012-04,0.267,
2012-07,0.257,
2012-10,0.223,
2013-01,0.548,
2013-04,0.264,
2013-07,0.337,
2013-10,0.518,
2014-01,0.747,
2014-04,0.485,
2014-07,0.519,
